Reference Type	Authors, Primary	Title Primary	Periodical Full	Periodical Abbrev	Pub Year	Pub Date Free From	Volume	Issue	Start Page	Other Pages	Keywords	Abstract	Notes	Personal Notes	Authors, Secondary	Title Secondary	Edition	Publisher	Place Of Publication	Authors, Tertiary	Authors, Quaternary	Authors, Quinary	Title, Tertiary	ISSN/ISBN	Availability	Author/Address	Accession Number	Language	Classification	Sub file/Database	Original Foreign Title	Links	URL	DOI	PMID	PMCID	Call Number	Database	Data Source	Identifying Phrase	Retrieved Date	Shortened Title	User 1	User 2	User 3	User 4	User 5	User 6	User 7	User 8	User 9	User 10	User 11	User 12	User 13	User 14	User 15
Book, Whole	"Alba-Tercedor,J.;Zamora-Munoz,C.;Sanchez-Ortega,A.;Guisasola,I."	Mayflies and stoneflies from the Rio Monachil (Sierra Nevada, Spain) (Ephemeroptera and Plecoptera).	 	 	1991	1991	 	 	538	 	"Environmental Sciences & Ecology;Zoology;Marine & Freshwater Biology;Ephemeroptera;Plecoptera [Community structure / / Seasonal changes & pollution effects;mountain stream] [Population dynamics / / Seasonal abundance] [Distribution within habitat / / ] [Stream / / Mountain;community structure & distribution] [Mountain habitat / / ] [Chemical pollution / / Ski resort waste;effects on ecology & distribution] [Spain / / Sierra Nevada;Rio Monachil]."	 	"PT: B BD: Ecology; Habitat; Freshwater habitat; Lotic water; Terrestrial habitat;    Pollution; Land zones; Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR12900019346"	 		 	 	 	 				 	 	 	 	 	 	 	DT: Book chapter	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Anichtchenko,Alexandre	A new and little known species of Philorhizus Hope, 1838 (Coleoptera, Carabidae) from Spain.	Boletin de la Sociedad Andaluza de Entomologia	 	2005	Febrero 2005	12	 	46	50	"Zoology;Philorhizus mendizabali [Spain / Sierra Nevada / Distribution;systematics]. Philorhizus paulo [Spain / Montes Vascos / New record]. Philorhizus tinauti [Spain / / New species]."	 	"PT: J BD: Systematics; Nomenclature; New taxa; Diagnosis; Land zones; Palaearctic    region; Eurasia; Europe; UT: ZOOREC:ZOOR14412073625"	 		 	 	 	 				 	1578-1666	 	"Anichtchenko, Alexandre; Departamento de Zoologia de Invertebrados e Hidrobiologia, Universidad de Irkutsk, Russia.; beetl2000@mail.ru"	 	 	 	DT: Article	Especies nuevas y poco conocidas de Philorhizus Hope, 1838 (Coleoptera, Carabidae) de Espana.	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Anichtchenko,Alexandre;Verdugo,Antonio"	Iberodorcadion (Hispanodorcadion) zenete, new Iberian species (Coleoptera, Cerambycidae) of Sierra Nevada (Andalusia, Spain).	Boletin de la Sociedad Andaluza de Entomologia	 	2004	Junio 2004	11	 	31	42	"Parasitology;Zoology;Iberodorcadion (Hispanodorcadion) zenete [Plant hosts / Phalaris / New parasite species] [Spain / / New species from plant host]."	In this paper Iberodorcadion zenete is described. It is a new species of iberian long horn beetle coming from the eastern side of Sierra Nevada (Almeria, Spain). The different immature stages of this insect and diagnostic characters for the separation from related taxa are provided. Finally genital parts of the new species are displayed.	"PT: J BD: Systematics; Nomenclature; New taxa; Parasites diseases and disorders;    Hosts; Land zones; Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR14102009866"	 		 	 	 	 				 	1578-1666	 	"Anichtchenko, Alexandre; Carrera del Darro, 35-2o B, 18010 Granada, Spain, Spain.; beetl2000@mail.ru"	 	 	 	DT: Article	Iberodorcadion (Hispanodorcadion) zenete, nueva especie iberica de cerambicido (Coleoptera, Cerambycidae) procedente de Sierra Nevada (Andalucia, Espana).	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Arenberger,E.	Stenoptilia hahni nov. sp. - ein Neufund aus Spanien (Lepidoptera: Pterophoridae).	SHILAP Revista de Lepidopterologia	 	1989	1989	17	 	327	331	"Zoology;Reproductive Biology;Stenoptilia hahni [Spain / / Sierra Nevada;New species]. Stenoptilia reisseri [Genitalia / / First time figured]."	 	"PT: J; SU: No. 67 BD: Systematics; Nomenclature; New taxa; Reproduction; Reproductive system;    Land zones; Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR12600024659"	 		 	 	 	 				 	0300-5267	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Arroyo Nombela,J. J.;Rodrigues Murcia,C.;Abaigar,T.;Vericad,J. R."	Cytogenetic analysis (GTG, CBG and NDR bands) of a wild boar population (Sus scrofa scrofa) with chromosomal polymorphism in the south-east of Spain.	Genetics Selection Evolution (Paris)	 	1990	1990	22	1	1	9	"Genetics & Heredity;Zoology;Evolutionary Biology;Sus scrofa scrofa [Cytogenetics / / Chromosomal polymorphism analysis] [Karyotype / / Polymorphism analysis] [Chromosome structure / / ] [Genetics of polymorphism and variation / / ] [Genetic variation / / ] [Polymorphism / / Chromosomal;analysis] [Spain / / Almeria]."	The karyotypes of 12 wild boars (4 .male., 8 .female.) from populations in Sierra Nevada and Sierra de Baza (Almeria) were analysed. Chromosomal polymorphism giving rise to 3 variants in the diploid number [2n = 38 (1.male.), 2n = 37 (2 .male., 1 .female.) and 2n = 36 (1 .male., 7 .female.)] was observed. By means of GTC-band analysis, this polymorphism proved to be the consequence of a Robertsonian translocation between members of pairs 15 and 17 of karyotypes with 2n = 38, thereby creating a long submetacentric chromosome (15/17) together with 2 free acrocentric chromosomes, (15 and 17) in individuals with 2n = 27, and a pair of long submetacentric chromosomes (15.17) in 2n = 36 specimens. CBG-band analysis revealed 2 types of staining for heterochromatin: a dark staining, characteristic of acrocentric chromosomes and occasionally present in the submetacentric (15/17), and a pale staining, characteristic of the rest of the submetacentric chromosomes. The Y-chromosome presented dark heterochromatin over the entire length of its long arm. The nucleolus organizers were observed on pairs 8 and 10 and showed heteromorphism of the size of the silver block and in the distribution in both pairs.	"PT: J BD: Genetics; Cytogenetics; Chromosomes; Population genetics; Evolution;    Variation; Land zones; Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR12700010564"	 		 	 	 	 				 	0999-193X	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Avila Sanchez-Jofre,J. M.;Pascual Torres,F."	Contribucion al estudio de los escarabeidos coprofagos de Sierra Nevada (Granada). 6. Autoecologia de las especies. Familia Aphodiidae (Coleoptera, Scarabaeoidea).	Boletim da Sociedade Portuguesa de Entomologia	Bol.Soc.Port.Entomol.	1987	1987	 	 	1	18	"Nutrition & Dietetics;Zoology;Environmental Sciences & Ecology;Aphodius [Coprophagy / / Autoecology] [Ecology / / Coprophagous species accounts] [Seasonal abundance / / ] [Vertical distribution / / ] [Habitat preference / / ] [Spain / / Granada;Sierra Nevada;Coprophagous species ecology]."	 	"PT: J; SU: No. 90 BD: Feeding; Feeding on specific substances; Ecology; Population dynamics;    Distribution within habitat; Habitat utilization; Land zones;    Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR12500003332"	 		 	 	 	 				 	0870-7227	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Avila,J. M.;Pascual,F."	Los Scarabaeoidea (Col.) coprofagos de los prados humedos de alta montana en Sierra Nevada (Granada, Espana).	Boletin de la Asociacion Espanola de Entomologia	Bol.Asoc.Esp.Entomol.	1989	1989	13	 	57	65	"Environmental Sciences & Ecology;Zoology;Scarabaeoidea [Community structure / / High mountain wet grassland] [Grassland / / ] [Mountain habitat / / Wet grassland] [Spain / / Sierra Nevada]."	"The coprophagous scarab fauna of one of the most characteristic biotopes of the high Sierra Nevada (Granada, Spain) has been studied, namely ""borreguiles"" located at the head of river San Juan, at 2500 m. These ""borreguiles"" located at the head of river San Juan, at 2500 m. These ""borreguiles"" are used for cattle grazing during summer. A total of 93 samples collected during 1980, 1981 and 1982 have been analyzed for existant species, relationship between them, mean number of species and individuals per sample, and species diversity. Twelve species were collected, six Scarabaeidae, five Aphodiidae and one Geotrupidae. These results indicate that the borreguiles have a poor fauna as judging from the low mean values of species and individuals. [The following species are discussed: Sisyphus schaefferi, Gymnopleurus flagellatus, Euonthophagus gibbosus, Onthophagus similis, O. fracticornis, O. vacca, Aphodius haemorrhoidalis, A. fimetarius, A. lividus, A. granarius, Geotrupes ibericus.]."	"PT: J BD: Ecology; Habitat; Terrestrial habitat; Land zones; Palaearctic region;    Eurasia; Europe; UT: ZOOREC:ZOOR12600057274"	 		 	 	 	 				 	0210-8984	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Avila,J. M.;Pascual,F."	Contribucion al estudio de los escarabeidos coprofagos de Sierra Nevada. 2. Relaciones con la vertiente, naturaleza del suelo y el grado de dureza, humedad y vegetacion del sustrato (Coleoptera, Scarabaeoidea).	Boletim da Sociedade Portuguesa de Entomologia	Bol.Soc.Port.Entomol.	1986	1986	 	 	1	14	"Environmental Sciences & Ecology;Zoology;Agriculture;Meteorology & Atmospheric Sciences;Scarabaeoidea [Relative abundance / / ] [Distribution within habitat / / Dung] [Dung habitat / / ] [Soil substrate / / hardness & abundance relationships] [Humidity / / Soil;abundance relationships] [Spain / / Sierra Nevada;dung habitat & soil substrate relationships]."	 	"PT: J; SU: No. 77 BD: Ecology; Community structure; Habitat; Terrestrial habitat; Habitat    substrate; Abiotic factors; Physical factors; Land zones; Palaearctic    region; Eurasia; Europe; UT: ZOOREC:ZOOR12400036790"	 		 	 	 	 				 	0870-7227	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Baena,Manuel;Susin,Juana"	Contribution to knowledge of the Iberian Deraeocorinae (Heteroptera, Miridae, Deraeocorinae).	Zoologica Baetica	Zool.Baetica	1998	1998	9	 	209	211	"Zoology;Alloeotomus germanicus [Portugal / / Beira Litoral;Mira;Lagoa de Barrinha;Praia de Mira;New distribution record] [Spain / / Almeria;Sierra de los Filabres;Gergal;Arroyo Verruga]. Bothynotus pilosus [Spain / / Granada;Sierra Nevada;Base del Trevenque;New distribution record]. Deraeocorinae [Spain / / New distribution records]. Deraeocoris (Deraeocoris) morio [Spain / / La Coruna;Fraga de Caaveiro;New distribution record]. Deraeocoris (Deraeocoris) trifasciatus [Spain / / Madrid;El Pardo;New distribution record]."	 	"PT: J BD: Land zones; Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR13600078361"	 		 	 	 	 				 	1130-4251	 	"Baena, Manuel; Departamento de Biologia y Geologia, I.E.S. ""Antonio Gala"", Apto. 14, 14700 Palma del Rio, Cordoba, Spain."	 	 	 	DT: Article	Contribucion al conocimiento de los Deraeocorinae ibericos (Heteroptera, Miridae, Deraeocorinae).	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Baldizzone,G.	Deux nouvelles especes du genre Infurcitinea Spuler (Tineidae).	Nota Lepidopterologica	Nota Lepidopterol.	1984	1984	7	3	193	198	"Zoology;Infurcitinea gaedikei;Infurcitinea peterseni [Spain / / Andalusia;Sierra Nevada;New species]."	 	"PT: J BD: Systematics; Nomenclature; New taxa; Land zones; Palaearctic region;    Eurasia; Europe; UT: ZOOREC:ZOOR12100016573"	 		 	 	 	 				 	0342-7536	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Beaucournu,J. -C	Une puce nouvelle de la faune iberique Peromyscopsylla spectabilis viatrix ssp. nova (Siphon. Leptopsyllidae).	Entomologiste	Entomologiste	1975	1975	31	6	227	230	"Parasitology;Zoology;Peromyscopsylla spectabilis viatrix [Mammalian hosts / / Microtus nivalis;New host records;Spain]."	 	"PT: J BD: Systematics; Nomenclature; New taxa; Parasites diseases and disorders;    Hosts; UT: ZOOREC:ZOOR11200020314"	 		 	 	 	 				 	 	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Beaucournu,J. C.;Gilot,B.;Vericad,J. R."	Deux Ctenophthalmus nouveaux (Siphonaptera. Hystrichopsylli dae) du sud-est Iberique.	Revista Iber Parasit	 	1973	1973	33	1	127	134	Zoology	 	"PT: J BD: Systematics; Nomenclature; New taxa; UT: ZOOREC:ZOOR11000037283"	 		 	 	 	 				 	 	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Bello,C. L.;Alba-Tercedor,J."	[Effect of the regulation of upper river Genil (Sierra Nevada, Spain) on the aquatic macroinvertebrate community and larval diet of Rhyacophila nevada (Insecta: Trichoptera).]	Limnetica	 	2004	2004	23	03-Apr	361	370	"Environmental Sciences & Ecology;Zoology;Nutrition & Dietetics;Entomology;Marine & Freshwater Biology;Macroinvertebrata [Industry / Dam / Effects on community ecology] [Prey / / Community ecology;effect of river regulation] [Biomass / / ] [Trophic structure / / ] [Ecological niche / / ] [Community structure / / ] [Insect predators / Rhyacophila nevada (Odonata) / Predator larval diet] [River / / Damming effects on community ecology] [Spain / Sierra Nevada, Genil stream / ]. Rhyacophila nevada [Industry / Dam / Effects on larval predation & ecology] [Prey / / Larval predation;effects of river regulation] [Food availability / / ] [Feeding rate / / Prey consumption by larvae] [Feeding behaviour / / Larvae] [Ecology / / Larval trophic ecology] [River / / Damming effects on larval predation & ecology] [Spain / Sierra Nevada, Genil stream / Larval predation & ecology]."	The effect that a dam (the Canales dam), located in the upper part of a mountain river (Gerrit steam, Sierra Nevada, Spain), has on the macroinvertebrate community is analysed, especially over the larval diet of the predator caddisfly Rhyacophila nevada Zamora-Munoz, C. & Alba-Tercedor, 1992. To that end, sampling stations were established, upstream and downstream of the dam. Quantitative samplings of macroinvertebrates were realized every month. The macroinvertebrates were identified to the maximum taxonomical level (species level in the majority of cases). The highest specific diversity was found in the Chironomidae Diptera. The biomass per species was estimated, as well as the life cycles of the predator's species, mayflies and dipterans. Gut contents were analysed and quantified. The diversity of the MIB was determined by flow shifts and prey life cycles. Rhyacophila nevada is the most abundant predator, with a multivoltine life cycle, and behaving as an active searcher of preys, ingesting them from the caudal region. The number of prey items consumed by R. nevada increased with its size. Significant differences on the diet between the sampling stations are a consequence of the shift in the resource availability of preys in time. The trophic niche breadth was different among sites.	"PT: J BD: Animals and man; Disturbance by man; Commercial activities; Nutrition;    Diet; Ecology; Predators; Habitat; Freshwater habitat; Lotic water; Land    zones; Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR14108048497"	 		 	 	 	 				 	0213-8409	 	"Bello, C.L.; Facultad de Ciencias, Departamento de Biologia, Laboratorio de Limnologia, Apdo. Postal 10552, Santa Rita, Maracaibo, Venezuela, Venezuela."	 	 	 	DT: Article	Efecto de la regulacion de la cabecera del rio Genil (Sierra Nevada, Espana) sobre la comunidad de macroinvertebrados acuaticos y la dieta larvaria de Rhyacophila nevada (Insecta: Trichoptera).	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
