PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM
J	"Moreno, G; Sanchez, A; Castillo, A; Singer, H; Illana, C"								Nivicolous myxomycetes from the Sierra Nevada National Park (Spain)								MYCOTAXON				87				223	242					JUL-SEP 2003	2003	The first results of studies of nivicolous Myxomycetes from the National Park of Sierra Nevada (Spain) are presented. They are the most southern records from Europe. 16 different taxa were collected of 169 samples, two of them are new records for the Iberian Peninsula: Didymium nivicolum and Physarum alpinum. Detailed descriptions of taxa that are new to Spain or difficult to distinguish are given including SEM micrographs of spore ornamentation.									9	0	0	10	0	10			0093-4666			WOS:000185523700024	
J	"Torres-Ruiz, J; Pesquera, A; Gil-Crespo, PP; Velilla, N"				"Pesquera Perez, Alfonso/G-9800-2015; Torres-Ruiz, Jose/H-9275-2015; Gil-Crespo, Pedro/G-9876-2015"	"Pesquera Perez, Alfonso/0000-0003-3201-0839; Torres-Ruiz, Jose/0000-0002-0746-9413; Gil-Crespo, Pedro/0000-0001-9691-2554"			Origin and petrogenetic implications of tourmaline-rich rocks in the Sierra Nevada (Betic Cordillera, southeastern Spain)								CHEMICAL GEOLOGY				197	01-Apr			55	86		10.1016/S0009-2541(02)00357-1			JUN 15 2003	2003	"Tourmaline-rich rocks (up to 60% tourmaline) associated with low-medium grade metamorphic assemblages occur in the Sierra Nevada area (Betic Cordillera, southeastern Spain). Tourmaline appears in a variety of forms: (1) stratiform tourmalinites; (2) quartz-tourmaline nodules; (3) porphyroclasts in felsic orthogneisses; and (4) disseminations in psammopelitic meta-sediments and gneisses. Tourmaline within these lithologic groups exhibits textural and chemical variations that reflect complex premetamorphic growth under open-system conditions, and subsequent changes due to Alpine regional metamorphism. Microprobe analyses of the tourmalines reveal a wide compositional variation between schorl and dravite end members with variable contents of X-site vacancies (av. 0.084-0.225 apfu), Ca (av. 0.095-0.269 apfu), and excess of Al (up to 6.588 apfu) compared with the theoretical value of 6 in ideal schorl and dravite. The amount of Ca may be significant in porphyroclasts from the gneisses. Fe/(Fe + Mg) ratios for tourmalines in tourmalinites, metasediments, and gneisses range from 0.34 to 0.95, 0.16 to 0.92, and 0.28 to 0.97, respectively. Na/(Na + Ca) ratios are also variable, mostly ranging from 0.5 to 0.9. Many of the tourmalines have complex chemical and colour zoning patterns, including significant fluctuations in Al, Fe, Mg, Na, Ca, Ti, and F. Based on petrographic and chemical data, three generations of tourmaline have been established. The first generation corresponds to magmatic-postmagmatic tourmaline that is represented by tourmaline porphyroclasts within the orthogneisses. The second generation of tourmaline formed during tourmalinization of psammopelitic rocks giving rise to tourmalinites. The third generation of tourmaline is represented by cellular textures, pale reaction rims and overgrowths developed during the Alpine regional metamorphic overprint. (C) 2002 Elsevier Science B.V. All rights reserved."									27	1	0	0	0	27			Sep-41	1878-5999		WOS:000183190400004	
J	"Gonzalez-Megias, A; Gomez, JM"								Consequences of removing a keystone herbivore for the abundance and diversity of arthropods associated with a cruciferous shrub								ECOLOGICAL ENTOMOLOGY				28	3			299	308		10.1046/j.1365-2311.2003.00510.x			Jun-03	2003	"1. The effect of the removal of Timarcha lugens (Chrysomelidae), one of the main herbivores of Hormathophylla spinosa (Cruciferae), on the abundance of co-occurring phytophagous insects, the abundance of non-phytophagous arthropods (detritivores, predators, and parasitoids), and the structure and diversity of the entire arthropod community, was studied for 3 years (1999-2001).2. There was competition between T. lugens and co-occurring herbivores; the removal of T. lugens was correlated with an increase in the abundance of sap-suckers, flower-feeders, and, above all, folivores.3. Timarcha lugens also had an indirect effect on arthropods belonging to other trophic levels; the abundance of predators increased significantly after the removal of T. lugens .4. Community composition was affected by the experimental removal. In addition, the diversity of the overall community increased after removal of T. lugens .5. The study demonstrated experimentally that T. lugens has a significant effect not only on other species belonging to the same trophic level, but also on the abundance of species belonging to higher trophic levels, and, consequently, on the entire structure and diversity of the complex community in which it is immersed."									17	0	0	20	0	20			0307-6946			WOS:000183157100005	
J	"Torres-Ruiz, J; Pesquera, A; Sanchez-Vizcaino, VL"				"Pesquera Perez, Alfonso/G-9800-2015; Torres-Ruiz, Jose/H-9275-2015; LOPEZ SANCHEZ-VIZCAINO, VICENTE/A-1974-2010"	"Pesquera Perez, Alfonso/0000-0003-3201-0839; Torres-Ruiz, Jose/0000-0002-0746-9413; LOPEZ SANCHEZ-VIZCAINO, VICENTE/0000-0003-0762-3692"			Chromian tourmaline and associated Cr-bearing minerals from the Nevado-Filabride complex (Betic Cordilleras, SE Spain)								MINERALOGICAL MAGAZINE				67	3			517	533		10.1180/0026461036730114			Jun-03	2003	Chromian tourmaline, in association with other Cr-bearing minerals (amphibole, mica, epidote, chlorite, titanite, rutile and chromian spinet), occurs in fine calc-schist levels within rnetacarbonate rocks from the Nevado-Filabride Complex, SE Spain. Electron microprobe analyses of tourmaline and coexisting minerals document both chemical differences dependent on the host-rock type and an irregular distribution of Cr at grain scale. Tourmaline is Na-rich dravite, with average Mg/(Mg+Fe) ratios of 0.83 and 0.63 a.p.f.u. and Cr contents of 0.32 and 0.18 a.p.f.u., in dolomitic and ankeritic marbles, respectively. Tourmaline contains small but significant concentrations of Zn (av. 0.01 a.p.f.u.) and in ankeritic marble it also contains Ni (av. 0.04 a.p.f.u.). Zn-rich chromian spinet appears as small relict inclusions in silicates, with average Cr, Fe, Al and Zn contents of 1.201, 1.241, 0.411 and 0.107 a.p.f.u., respectively. Amphibole, epidote, mica and chlorite show average Cr contents of 0.088, 0.138, 0.115 and 0.267 a.p.f.u., respectively, in dolomitic marbles, and 0.103, 0.078, 0.065 and 0.185 a.p.f.u., respectively, in ankeritic marbles. Cr-silicates formed through metamorphic reactions involving detrital Cr-rich spinet, in addition to clay minerals and carbonates. The B necessary to form tourmaline was probably derived from the leaching of underlying evaporitic rocks.									6	0	0	0	0	6			0026-461X	1471-8022		WOS:000184050600006	
J	"Moleon, M; Gil-Sanchez, JM"				Moleon, Marcos/K-2875-2014	Moleon, Marcos/0000-0002-3126-619X			Food habits of the wildcat (Felis silvestris) in a peculiar habitat: the Mediterranean high mountain								JOURNAL OF ZOOLOGY				260				17	22		10.1017/S0952836902003370			May-03	2003	"The feeding spectrum of the wildcat Felis silvestris Schreber, 1777 was studied in two sites with different ecological characteristics, both situated in the same Mediterranean environment in the high mountain of the Sierra Nevada National Park, south-east Spain, where the rabbit Otyctolagus cuniculus is absent. Scat analysis (n = 101 faeces; n = 402 prey items) showed that the diet is based on rodents, fundamentally wood mouse Apodemus sylvaticus, Mediterranean pine vole Microtus duodecimcostatus and south-western water vole Arvicola sapidus. Results showed strong differences between the two sites (chi(2) = 74.04, d.f. = 5, P < 0.001), that is a predominance of voles in the mesic Chico river, whereas mice are predominant in the xeric Tejos ravine. Red-legged partridge Alectoris rufa and carrion also played an important role, especially in biomass terms. The overall diet differed essentially from that of the Mediterranean region, which surrounds the study area, since in these areas rabbits constitute the primary prey. However, the diet of the mountain wildcats is similar to that in the Eurosiberian floral region, despite its distance from the Sierra Nevada. In conclusion, the Iberian wildcat seems to behave as a facultative specialist, since it prefers rabbits whenever they are available, but rodents constitute most of its diet if rabbits are scarce or absent."									23	0	0	22	0	24			0952-8369			WOS:000183462900003	
J	"Santiago-Moreno, J; Gomez-Brunet, A; Gonzalez-Bulnes, A; Malpaux, B; Chemineau, P; Pulido-Pastor, A; Lopez-Sebastian, A"								Seasonal ovulatory activity and plasma prolactin concentrations in the Spanish ibex (Capra pyrenaica hispanica) maintained in captivity								REPRODUCTION NUTRITION DEVELOPMENT				43	3			217	224		10.1051/rnd:2003023			MAY-JUN 2003	2003	Seasonal changes in ovulatory activity, assessed by the measurement of plasma progesterone and plasma prolactin concentrations were monitored in 10 Spanish ibex females captured in the National Wildlife Reserve of Sierra Nevada (South Spain, 37 degreesN). Five of the 10 female ibex showed ovulatory activity with a mean (+/- s.e.m.) duration of the oestrous cycle of 19.4 +/- 1 days (range: 17-23 days). On average, the five cyclic females weighed 28 +/- 10.9 kg. Progesterone cycles occurred only in animals older than 4 years of age. Ovulatory activity extended from December to January. The duration of the breeding season was 43.2 +/- 17.7 days. Ibex females younger than 4 years of age had a body weight lower (P < 0.01) than that of adults and none of them displayed ovulations. Plasma concentrations of prolactin levels were significantly affected by season (P < 0.05), following a trend that was roughly parallel to daylength. The highest values occurred in the spring (119.7 +/- 21.4 ng.mL (1)) and the summer (139.3 +/- 19.8 ng.mL (1)), the lowest values in the autumn (26 +/- 7.4 ng.mL (1)) and in the winter (19.7 +/- 3.2 ng.mL (1)). Our results showed a very restricted breeding season, despite the fact that the Spanish ibex originates from and lives in a temperate latitude, revealing a remarkably good adaptation to the harsh climatic and nutritional conditions of their mountainous habitat.									18	0	0	19	1	19			0926-5287			WOS:000186077200001	14620629
J	"Ruiz, AM; Ferhat, G; Alfaro, P; de Galdeano, CS; de Lacy, MC; Rodriguez-Caderot, G; Gil, AJ"				"Gil, Antonio/L-8173-2014; ALFARO GARCIA, PEDRO/H-2038-2015"	"Gil, Antonio/0000-0003-0351-4106; ALFARO GARCIA, PEDRO/0000-0002-2753-2969"			Geodetic measurements of crustal deformation on NW-SE faults of the Betic Cordillera, southern Spain, 1999-2001								JOURNAL OF GEODYNAMICS				35	3			259	272	PII S0264-3707(02)00134-5	10.1016/S0264-3707(02)00134-5			Apr-03	2003	The Granada basin, located in the central sector of the Betic Cordillera, is one of the most seismically active zones of the Iberian Peninsula. For the first time, a geodetic network along the Padul fault and two levelling profiles (Genil and Viznar) crossing the Granada fault were operated to detect crust micro-deformations in this area. Three years of terrestrial geodetic measurements are analysed to characterize the behaviour of these faults in a low to moderate strain rate environment. After the comparison of these three campaigns, we can conclude that there is no significant short-term movement of the Padul fault. Granada fault measurements show significant differences between 1999 and 2001 campaigns in Viznar profile. However, more data are needed to correlate this displacement to the tectonic activity. (C) 2002 Elsevier Science Ltd. All rights reserved.									18	0	0	0	0	18			0264-3707			WOS:000180799200001	
J	"Perez, JM; Granados, JE; Perez, MC; Marquez, FJ; Ferroglio, E; Rossi, L"				Marquez, Francisco J./N-1849-2015	Marquez, Francisco J./0000-0002-1450-6235			A survey of the gastrointestinal nematodes of Spanish ibex (Capra pyrenaica) in a high mountain habitat								JOURNAL OF PARASITOLOGY				89	2			315	318		"10.1645/0022-3395(2003)089[0315:ASOTGN]2.0.CO;2"			Apr-03	2003	We analyzed the content of the abomasum (n = 79) and small intestine (n = 83) of Spanish ibex from Sierra Nevada Natural Park, southern Spain. Fifteen species of trichostrongylid nematodes were identified, 4 of which were found for the first time in this host, i.e., Nematodirus fillicollis, N. oiratianus, Ostertagia lyrata, and O. ostertagi. Teladorsagia circumcincta and Marshallagia marshalli were the most abundant abomasal species, whereas N. abnormalis, N. davtiani, and N. oiratianus were dominant in the small intestine. Counts of both abomasal and intestinal nematodes were generally low (year-round-median = 292 and 94 worms, respectively), and significantly lower numbers of M. marshalli, N. davtiani, and N. oiratianus were found in summer. No sex-related differences in helminth abundance were found, but young ibex harbored significantly more N. davtiani and N. oiratianus than adults. The presence of scabies was not related to increased nematode counts.									8	0	0	8	0	8			0022-3395			WOS:000182535500016	12760646
J	"Alba-Tercedor, J; Derka, T"								Torleya nazarita sp n., a new species from Southern Spain (Ephemeroptera : Ephemerellidae)								AQUATIC INSECTS				25	1			23	32		10.1076/aqin.25.1.23.14022			Mar-03	2003	After an intensive study, we concluded that the species described by Alba-Tercedor and Sanchez-Ortega (1982) from the foothills of the Sierra Nevada mountains in Southern Spain as Torleya cf. belgica, actually belongs to a new species which we name Torleya nazarita sp. n. The new species is closely related to Torleya major (Klapalek, 1905), which up to now was considered to be the only European representative of the genus. Description and figures of the nymph and imago and the features distinguishing the new species from other species of the genus are given.									3	1	0	3	0	3			0165-0424			WOS:000182986100004	
J	"Hodar, JA; Castro, J; Zamora, R"				Castro, Jorge/M-1509-2014	Castro, Jorge/0000-0002-6362-2240			Pine processionary caterpillar Thaumetopoea pityocampa as a new threat for relict Mediterranean Scots pine forests under climatic warming								BIOLOGICAL CONSERVATION				110	1			123	129	PII S0006-3207(02)00183-0	10.1016/S0006-3207(02)00183-0			Mar-03	2003	"The wide distribution of Scots pine (Pinus sylvestris L.) in Europe includes two relict populations in southern Spain (Sierra Nevada and Sierra de Baza), belonging to the subspecies nevadensis. These populations are isolated in high mountains, which tends to protect them from the attack of a severe defoliating Mediterranean pest, the pine processionary moth Thaumetopoea pityocampa. However, as a consequence of climate change, the pine processionary caterpillar has increasingly attacked populations of this pine in recent years. This work describes the detrimental effects of defoliation by the pine processionary caterpillar in P. sylvestris subsp. nevadensis in Sierra Nevada. Defoliation strongly reduced pine growth as well as all the reproductive parameters measured (female and male cone production, mature cone size, seed production and seed weight), in addition to some deaths. If winter temperatures continue to increase; the pine processionary caterpillar will have a dangerous impact in these relict pine populations, by further reducing the pine's weak regeneration capacity. We suggest some mitigation actions based on managing habitat structure, in order to reduce or avoid such negative impacts. (C) 2002 Elsevier Science Ltd. All rights reserved."									80	5	0	74	0	87			Jun-07			WOS:000180506900013	
J	"Booth-Rea, G; Azanon, JM; Garcia-Duenas, V; Augier, R; Sanchez-Gomez, M"				Booth-Rea, Guillermo/I-4504-2015	Booth-Rea, Guillermo/0000-0003-1179-8321			A 'core-complex-like structure' formed by superimposed extension, folding and high-angle normal faulting. The Santi Petri dome (western Betics, Spain)								COMPTES RENDUS GEOSCIENCE				335	2			265	274		10.1016/S1631-0713(03)00026-9			Feb-03	2003	The Sand Petri dome (western Betics, southern Spain) shows a core-complex-like structure, where migmatitic gneisses and schists outcrop below low-grade, slates and phyllites, all of which form the basement of the Neogene Malaga basin. The miginatites and schists suffered a coaxial-flattening event during isothermal decompression and were later exhumed by ductile ESE non-coaxial stretching. Further exhumation was achieved by W- to SW-transport brittle low-angle normal faulting, Subsequently these extensional structures were gently folded in the core of a NE/SW-oriented antiform during the Tortonian. Finally the Santi Petri domal geometry was accentuated by the interference of orthogonal high-angle faults with ENE-WSW and NNW-SSE orientation. This core-complex-like structure, formed by superposition of extensional and compressive tectonic events, does not represent a classical, purely extensional core complex, which shows that metamorphic structure and geometry are not decisive criteria to define a core-complex. (C) 2003 Academie des sciences/Editions scientifiques et medicales Elsevier SAS. All rights reserved.									12	0	0	1	0	12			1631-0713			WOS:000183174200010	
