PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM
J	"Extremera Montero, F; Moyano Acost, R; Gomez Pozo, B; Bermudez Ruiz, P; Lopez Mendez, J; Aguilar Rivas, S; Ingelmo Martin, J"				Gomez-Pozo, Basilio/G-9392-2014	Gomez-Pozo, Basilio/0000-0002-7779-4262			[Exposure to Mycobacterium tuberculosis during a bus travel].				Exposicion a Mycobacterium tuberculosis durante un viaje en autobus.				Medicina clinica				116	5			182	5					2001-Feb-10	2001										0	0	0	0	0	0			0025-7753			MEDLINE:11222175	11222175
J	Cano Villegas, Francisco J.								[Interesting observations of arthropods in the Sierra Nevada (Granada, Andalusia).]				Interesantes observaciones de artropodos en Sierra Nevada (Granada, Andalucia).				Boletin de la Sociedad Andaluza de Entomologia				15				99	102					Junio 2008	2008										0	0	0	0	0	0			1578-1666			ZOOREC:ZOOR14503018296	
J	Fernandez-Rubio, Fidel								[Monstrosities and curiosities (4): the aberrant form of Lysandra golgus (Hubner, 1808).]				De monstruosos y prodigios (4): forma aberrante de Lysandra golgus (Hubner, 1808).				Boletin de la SEA				18				18	18					30 de junio 1997	1997										0	0	0	0	0	0			1134-6094			ZOOREC:ZOOR13400021899	
B	"Jimenez Guirado, D.; Calatayud, L.; Pena Santiago, R."			Real Sociedad Espanola de Historia Natural					[Morphometrical analysis of the genus Anatonchus Cobb, 1916 (Nematoda, Mononchida) in Spain.]				Analisis morfometrico del genero Anatonchus Cobb, 1916 (Nematoda, Mononchida) en Espana.				[Extraordinary volume published on the occasion of the 125th anniversary of the foundation. 12th biennial, 11th -15th March.].								113	115					1996	1996										0	0	0	0	0	0					84-920828-4-4	ZOOREC:ZOOR13300005857	
J	Soriano, Ignasi				Soriano, Ignasi/F-4657-2016	Soriano, Ignasi/0000-0003-3875-7511			[On Pedicularis verticillata (Scrophulariaceae) of the Sierra Nevada mountains, Spain.]				Sobre la Pedicularis verticillata (SCROPHULARIACEAE) de Sierra Nevada.				ORSIS Organismes i Sistemes				18				103	106					2003	2003										0	0	0	0	0	0			0213-4039			BIOSIS:PREV200400230497	
J	"Villar Del Fresno, A; Cabo Torres, J"								[Phytochemical study of Aconitum lycoctonum from Sierra Nevada. I. Quantitative determination of the alkaloid content].				Estudio fitoquimico del Aconitum lycoctonum de Sierra Nevada. I. Determinacion cuantitativa de su contenido alcaloidico				Bollettino chimico farmaceutico				112	12			839	42					1973-Dec	1973										0	0	0	0	0	0			jun-48			MEDLINE:4793302	4793302
J	Defaut, Bernard								[Preliminary revision of Chorthippus of the binotatus group (Charpentier, 1825) (Caelifera, Acrididae, Gomphocerinae).]				Revision preliminaire des Chorthippus du groupe binotatus (Charpentier, 1825) (Caelifera, Acrididae, Gomphocerinae).				Materiaux Orthopteriques et Entomocenotiques				16				17	54					2011	2011										0	0	0	0	0	0			1764-6308			ZOOREC:ZOOR14712081938	
J	"Perez Martinez, Carmen; Barea Arco, Jose"				Perez-Martinez, Carmen/K-1219-2014	Perez-Martinez, Carmen/0000-0001-8777-4487			[Relation between host size and infection intensity of an algal epibiont.]				Relacion entre el tamano del hospedador y la intensidad de infeccion de un alga epibionte.				Limnetica				19				193	198					2000	2000										2	0	0	2	1	2			0213-8409			ZOOREC:ZOOR13800019163	
J	Puetz, A.								[Second contribution to the knowledge of the genus Trichobyrrhulus Ganglbauer, 1902 (Coleoptera: Byrrhidae).]				Zweiter Beitrag zur Kenntnis der Gattung Trichobyrrhulus Ganglbauer, 1902 (Coleoptera: Byrrhidae).				Koleopterologische Rundschau				74				385	398					Juni 2004	2004										0	0	0	0	0	0			0075-6547			ZOOREC:ZOOR14011063329	
J	Lucolli, Silvana								[Sierra Nevada and the monitoring of birds of prey through the 'Projeto Glochamore' (Global Change in Mountain Regions).]				Serra Nevada e o monitoramento de aves de rapina atraves do Projeto Glochamore (Global Change in Mountain Regions).				Atualidades Ornitologicas				141				4	6					Janeiro-Fevereiro 2008	2008										0	0	0	0	0	0			0104-2386			ZOOREC:ZOOR14406036181	
J	"Caro, Jesus; Fernandez-Cardenete, Juan R.; Moreno-Rueda, Gregorio; Pleguezuelos, Juan M."								[Status of Coronella austriaca in Sierra Nevada (SE Iberian Peninsula).]				Estatus de Coronella austriaca en Sierra Nevada ( SE Peninsula Iberica).				Boletin de la Asociacion Herpetologica Espanola				23	1			94	102					2012	2012										1	0	0	1	0	1			1130-6939			ZOOREC:ZOOR15103013321	
J	Hacker, Hermann								[The revision of the genus Hadena Schrank, 1802 (Lepidoptera: Noctuidae).]				Revision der Gattung Hadena Schrank, 1802 (Lepidoptera, Noctuidae).				Esperiana				5				6	696, 726-775					1996	1996										0	0	0	1	0	1			0949-4529			ZOOREC:ZOOR13400013549	
J	Soldan, T.								[The Spanish Sierra Nevada and its natural history.]								Ziva				35	5			169	170					1987	1987										0	0	0	0	0	0			0044-4812			ZOOREC:ZOOR12500039360	
J	"Rieradevall, M.; Prat, N."								[The zoobenthos of lakes and aquatic areas of the high mountains of the Iberian Peninsula and their value as indicators of environmental changes.]				El zoobentos en los lagos y lagunas de alta montana de la Peninsula Iberica y su interes como indicadores de cambios ambientales.				Universidad Autonoma de Madrid Coleccion de Estudios				63				187	200					2000	2000										0	0	0	0	0	0			1577-1806			ZOOREC:ZOOR13600083745	
J	Defaut, Bernard								[Validity and fields of application of the diverse taxonomic vocabulary of the Acrididae family (Orthoptera).]				Validite et champs d'application de divers vocable taxonomiques de la famille Acrididae (Orthoptera).				Materiaux Orthopteriques et Entomocenotiques				12				5	14					2007(2008)	2008										0	0	0	0	0	0			1764-6308			ZOOREC:ZOOR14409050791	
B	MARTINEZ-SILVESTRE R								1ST REPORT ON THE LIMNOLOGY OF THE ALPINE LAKE LA-CALDERA IN THE PENIBETIC MOUNTAINS SIERRA-NEVADA GRANADA SPAIN								"SLADECEK, V. (ED.). INTERNATIONALE VEREINIGUNG FUER THEORETISCHE UND ANGEWANDTE LIMNOLOGIE, VERHANDLUNGEN. INTERNATIONAL ASSOCIATION OF THEORETICAL AND APPLIED LIMNOLOGY, PROCEEDINGS, VOL. 19, PARTS 1-4. WINNIPEG, MANITOBA, CANADA, 1974. III+748P. (PT. 1.); IV+848P.(PT. 2.); IV+928P.(PT. 3.); III+886P.(PT. 4.). E. SCHWEIZERBART'SCHE VERLAGSBUCHHANDLUNG: STUTTGART, WEST GERMANY. ISBN 3-510-54008-5(PT. 1.); ISBN 3-510-54009-3(PT. 2); ISBN 3-510-54010-7(PT. 3.); ISBN 3-510-54011-5(PT. 4.)"								1133	1139					1975	1975										0	0	0	0	0	0						BIOSIS:PREV197713022686	
B	"Antoci, V; Rodler, F"						"Sterken, C; Kurtz, DW"		44 Tau: a slowly rotating delta Scuti star								OBSERVATIONAL ASPECTS OF PULSATING B AND A STARS		ASTRONOMICAL SOCIETY OF THE PACIFIC CONFERENCE SERIES		256				179	181					2002	2002						Workshop on Observational Aspects of Pulsating B and A StarsWorkshop on Observational Aspects of Pulsating B and A Stars	JUL 24-25, 2001JUL 24-25, 2001		UNIV BRUSSELS, BRUSSELS, BELGIUMUNIV BRUSSELS, BRUSSELS, BELGIUM	0	0	0	0	0	0					1-58381-096-X	WOS:000176732000025	
J	"Booth-Rea, G; Azanon, JM; Garcia-Duenas, V; Augier, R; Sanchez-Gomez, M"				Booth-Rea, Guillermo/I-4504-2015	Booth-Rea, Guillermo/0000-0003-1179-8321			A 'core-complex-like structure' formed by superimposed extension, folding and high-angle normal faulting. The Santi Petri dome (western Betics, Spain)								COMPTES RENDUS GEOSCIENCE				335	2			265	274		10.1016/S1631-0713(03)00026-9			feb-03	2003										13	0	0	1	0	13			1631-0713			WOS:000183174200010	
S	"Fontana, Anne-Laure; Boucher, Catherine; Serres, Patrice; Bortolotti, Yves; Cope, Florence; Stil, Irvin; Lefranc, Bastien; Garnier, Olivier; Butin, Gilles; Mattiocco, Francois; Navarro, Santiago; John, Dave; Navarrini, Alessandro; Schuster, Karl-F."					Navarrini, Alessandro/0000-0002-6191-6958	"Holland, WS; Zmuidzinas, J"		A 3mm multipixel SIS receiver for IRAM 30-m Pico Veleta Telescope								MILLIMETER, SUBMILLIMETER, AND FAR-INFRARED DETECTORS AND INSTRUMENTATION FOR ASTRONOMY VI		Proceedings of SPIE		8452						84522E	10.1117/12.926177			2012	2012						Conference on Millimeter, Submillimeter, and Far-Infrared Detectors and Instrumentation for Astronomy VIConference on Millimeter, Submillimeter, and Far-Infrared Detectors and Instrumentation for Astronomy VI	JUL 03-06, 2012JUL 03-06, 2012	SPIESPIE	Amsterdam, NETHERLANDSAmsterdam, NETHERLANDS	0	0	0	0	0	0			0277-786X		978-0-8194-9153-4	WOS:000312884000069	
J	"Botosaneanu, L; Gonzalez, MA"								A difficult taxonomic problem: the Micrasema (Trichoptera : Brachycentridae) of the Iberian and Pyrenean running waters								ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE				42	1			119	127					JAN-MAR 2006	2006										2	0	0	2	0	3			0037-9271			WOS:000237536200013	
J	"DOMMERGUES, JL; MOUTERDE, R; RIVAS, P"								A FALSE POLYMORPHID - DUBARICERAS, A NEW GENUS OF THE AMMONITA FROM THE MESOGEAN CARIXIAN								GEOBIOS				17	6			831	&		10.1016/S0016-6995(84)80123-0			1984	1984										8	0	0	10	0	12			0016-6995			WOS:A1984AAC2200010	
J	"Casas, J.J.; Vilchez-Quero, A."								A faunistic study of the lotic chironomids (Diptera) of the Sierra Nevada (S.E. of Spain): changes in the structure and composition of the populations between spring and summer.								Acta Biologica Debrecina Supplementum Oecologica Hungarica				3				83	93					1989	1989										6	0	0	7	0	7			0236-8684			ZOOREC:ZOOR13100024104	
J	"Jimenez Olivencia, Yolanda; Porcel Rodriguez, Laura; Caballero Calvo, Andres"								A HALF-CENTURY OF LANDSCAPE EVOLUTION IN THE SIERRA NEVADA (SPAIN)								BOLETIN DE LA ASOCIACION DE GEOGRAFOS ESPANOLES					68			205	+					2015	2015										0	0	0	0	0	0			0212-9426			WOS:000357347100009	
J	"Puehringer, F.; Poell, N."								A hitherto unknown male of Synansphecia kautzi (Reisser, 1930) (Lepidoptera, Sesiidae)								Zeitschrift der Arbeitsgemeinschaft Oesterreichischer Entomologen				51	1-feb			1	8					April 30, 1999	1999										0	0	0	0	0	0			0375-5223			BIOSIS:PREV199900451920	
B	"Zamora, R.; Tinaut, A."	"Veeresh, G.K.; Mallik, B.; Viraktamath, C.A."							"A morphological comparison between prey and kleptoparasitic ants (Formica fusca group) of a carnivorous plant (Pinguicola nevadense, (Linb) Casper, 1962). (Hymenoptera; Lentibulariacea)."								Social insects and the environment. Proceedings of the 11th International Congress of IUSSI, 1990 (International Union for the Study of Social Insects).								92	92					1990	1990										1	0	0	1	0	1						ZOOREC:ZOOR12900055342	
B	"de Matias Bejarano, Javier; Moreno del Pozo, Jose; Guerrero Campo, Jose J."					Guerrero, Josechu/0000-0001-5209-2267	"Sablatnig, R; Kampel, M; Lettner, M"		A multi-view dense reconstruction for rock glacier modelling								2009 15TH INTERNATIONAL CONFERENCE ON VIRTUAL SYSTEMS AND MULTIMEDIA PROCEEDINGS (VSMM 2009)								163	168		10.1109/VSMM.2009.30			2009	2009						15th International Conference on Virtual Systems and Multimedia15th International Conference on Virtual Systems and Multimedia	SEP 09-12, 2009SEP 09-12, 2009	"VSMM; TU Vienna; IAPR; Austrian Comp Soc; Austrian Official CarrierVSMM; TU Vienna; IAPR; Austrian Comp Soc; Austrian Official Carrier"	Vienna Univ Technol, Vienna, AUSTRIAVienna Univ Technol, Vienna, AUSTRIA	0	0	0	0	0	0					978-0-7695-3790-0	WOS:000289587500026	
J	"Carbonell, R; Sallares, V; Pous, J; Danobeitia, JJ; Queralt, P; Ledo, JJ; Duenas, VG"				"Carbonell, Ramon/A-5729-2009; Carbonell, Ramon/C-7847-2014; Ledo, Juanjo/K-4420-2014; Queralt, Pilar/F-1915-2010"	"Carbonell, Ramon/0000-0003-2019-1214; Carbonell, Ramon/0000-0003-2019-1214; Ledo, Juanjo/0000-0003-1548-1575; Queralt, Pilar/0000-0002-4195-4228"			A multidisciplinary geophysical study in the Betic chain (southern Iberia Peninsula)								TECTONOPHYSICS				288	1-abr			137	152		10.1016/S0040-1951(97)00289-8			MAR 30 1998	1998						7th International Symposium on Deep Seismic Profiling of the Continents7th International Symposium on Deep Seismic Profiling of the Continents	SEP 12-15, 1996SEP 12-15, 1996	"Stanford Univ; US Geol Survey; Nat Sci Fdn; Refract Technol Inc; Int Assoc Seismol & Phys Earths Interior; Int Lithsphere Program; Amer Assoc Petr Geologists; Soc Explorat GeophysicistsStanford Univ; US Geol Survey; Nat Sci Fdn; Refract Technol Inc; Int Assoc Seismol & Phys Earths Interior; Int Lithsphere Program; Amer Assoc Petr Geologists; Soc Explorat Geophysicists"	ASILOMAR, CAASILOMAR, CA	31	0	0	2	0	31			0040-1951	1879-3266		WOS:000073292600013	
J	Anichtchenko, Alexandre								A new and little known species of Philorhizus Hope, 1838 (Coleoptera, Carabidae) from Spain.				Especies nuevas y poco conocidas de Philorhizus Hope, 1838 (Coleoptera, Carabidae) de Espana.				Boletin de la Sociedad Andaluza de Entomologia				12				46	50					Febrero 2005	2005										1	0	0	1	0	1			1578-1666			ZOOREC:ZOOR14412073625	
J	"Campos, Francisco; Gutierrez-Corchero, Francisco; Lopez-Fidalgo, Jesus; Hernandez, Ma Angeles"								A new criteria to sex European dippers Cinclus cinclus in the Iberian Peninsula.				Un nuevo criterio para sexar mirlos acuaticos Cinclus cinclus en la Peninsula Iberica.				Revista Catalana d'Ornitologia				21				43	46					2005(2006)	2006										5	0	0	5	0	5			1697-4697			ZOOREC:ZOOR14206038999	
J	BEAUCOURNU J-C								A NEW FLEA FOR THE IBERIAN FAUNA PEROMYSCOPSYLLA-SPECTABILIS-VIATRIX NEW-SUBSPECIES SIPHONAPTERA LEPTOPSYLLIDAE								Entomologiste (Paris)				31	6			227	230					1975	1975										0	0	0	0	0	0			0013-8886			BIOSIS:PREV197662061192	
J	"Mayoral, Jaime G.; Barranco, Pablo"								A new genus and species of larval mite (Acari: Prostigmata: Microtrombidiidae) parasitising Orthoptera (Tettigoniidae) from the Sierra Nevada, Spain								SYSTEMATIC PARASITOLOGY				83	1			77	84		10.1007/s11230-012-9370-y			sept-12	2012										2	0	0	2	0	2			0165-5752	1573-5192		WOS:000307541400008	22890382
J	"Martin, Rocio; Prieto, Carlos E."								A new orophilous species of the genus Dasylobus (Opiliones: Phalangiidae) from Sierra Nevada, Spain								JOURNAL OF ARACHNOLOGY				38	1			113	118					2010	2010										0	0	0	0	0	0			0161-8202			WOS:000275921400013	
J	SERVE L								A NEW SPECIES FROM THE SIERRA-NEVADA SOUTHERN SPAIN IBERIS-EMBERGERI-D NEW SPECIES								Bulletin de la Societe Botanique de France				117	5-jun			283	292					1971	1971										0	0	0	0	0	0			0037-8941			BIOSIS:PREV197152099742	
J	"Brullo, S.; Pavone, P.; Salmeri, C."								A new species of Allium sect. Codonoprasum from Sierra Nevada (Spain)								Sendtnera				3	0			95	100					1996	1996										0	0	0	0	0	0			0944-0178			BIOSIS:PREV199699050643	
J	"Zeller-Lukashort, H. C.; Werno, A.; Kurz, M. A."								A new species of Micropterix Hubner, [1825] from southern Spain (Lepidoptera: Micropterigidae)								SHILAP-REVISTA DE LEPIDOPTEROLOGIA				41	164			489	494					dic-13	2013										0	0	0	0	0	0			0300-5267			WOS:000329162800006	
J	"Pont, Adrian C.; Gregor, Frantisek"								A new species of the genus Coenosia Meigen, 1826 (Diptera: Muscidae) from the Sierra Nevada, Spain.								Boletin de la Asociacion Espanola de Entomologia				32	3-abr			305	313					diciembre 2008	2008										1	0	0	1	0	1			0210-8984			ZOOREC:ZOOR14605037510	
J	TERCEDOR, JA								A NEW SPECIES OF THE GENUS OLIGONEURIELLA (EPHEMEROPTERA, OLIGONEURIIDAE) FROM SPAIN								AQUATIC INSECTS				5	2			131	139		10.1080/01650428309361133			1983	1983										1	0	0	1	0	1			0165-0424			WOS:A1983QU63700006	
J	"Nieto Feliner, Gonzalo; Rossello, Josep Antoni; Fuertes, Javier"								A new subspecies of Armeria filicaulis (Plumbaginaceae) from Sierra Nevada (southern Spain)								Anales del Jardin Botanico de Madrid				56	1			162	164					June, 1998	1998										0	0	0	0	0	0			0211-1322			BIOSIS:PREV199800474515	
J	SANCHEZCASTILLO, PM								A NEW TAXON OF THE GENUS CHROMULINA - CHROMULINA-NEVADENSIS SANCHEZ,P.M. SP-NOV								CRYPTOGAMIE ALGOLOGIE				8	4			235	240					nov-87	1987										1	0	0	1	0	1			0181-1568			WOS:A1987L125100001	
J	"Macmillan, Craig W.; Costello, Michael J."								A protocol for using a mite brushing machine for estimating densities of Willamette mite on grapes								American Journal of Enology and Viticulture				56	3			293A	293A					2005	2005						56th Annual Meeting of the American-Society-Entology-and-Viticulture56th Annual Meeting of the American-Society-Entology-and-Viticulture	June 22 -24, 2005June 22 -24, 2005	Amer Soc Entol &ViticultureAmer Soc Entol &Viticulture	Seattle, WA, USASeattle, WA, USA	0	0	0	0	0	0			feb-54			BIOSIS:PREV200600068334	
J	"Martin-Piera, F; Boto, L"				Boto, Luis/C-5826-2011	Boto, Luis/0000-0001-5792-8238			A reappraisal of the 'fracticornis-opacicollis' taxonomic complex of the genus Onthophagus Latreille using allozymes (Coleoptera, Scarabaeoidea)								JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH				37	2			75	84		10.1046/j.1439-0469.1999.372104.x			jun-99	1999										5	0	0	6	0	6			0947-5745			WOS:000081059000003	
J	"Gomez-Pugnaire, MT; Galindo-Zaldivar, J; Rubatto, D; Gonzalez-Lodeiro, F; Sanchez-Vizcaino, VL; Jabaloy, A"				"Rubatto, Daniela/H-1119-2011; Galindo-Zaldivar, Jesus/K-3640-2012; JABALOY SANCHEZ, ANTONIO/L-2955-2014; Gomez-Pugnaire, Maria Teresa/C-8890-2015; Gonzalez Lodeiro, Francisco/H-8824-2015; LOPEZ SANCHEZ-VIZCAINO, VICENTE/A-1974-2010"	"Rubatto, Daniela/0000-0002-7425-7904; Galindo-Zaldivar, Jesus/0000-0002-3493-2637; JABALOY SANCHEZ, ANTONIO/0000-0001-5830-5913; Gomez-Pugnaire, Maria Teresa/0000-0003-4730-9139; Gonzalez Lodeiro, Francisco/0000-0003-3810-7965; LOPEZ SANCHEZ-VIZCAINO, VICENTE/0000-0003-0762-3692"			A reinterpretation of the Nevado-Filabride and Alpujarride Complexes (Betic Cordillera): field, petrography and U-Pb ages from orthogneisses (western Sierra Nevada, S Spain)								SCHWEIZERISCHE MINERALOGISCHE UND PETROGRAPHISCHE MITTEILUNGEN				84	3			303	322					2004	2004										18	0	0	1	0	18			0036-7699			WOS:000236955000005	
J	Ortiz-Sanchez, F.J.								A relict population of Anthophora (Clisodon) furcata (Panzer, 1798) in Sierra Nevada, first record from the southern half of the Iberian Peninsula (Hymenoptera, Anthophoridae).				Una poblacion relicta de Anthophora (Clisodon) furcata (Panzer) en Sierra Nevada, primera cita para la mitad sur de la Peninsula Iberica (Hymenoptera, Anthophoridae).				Acta Granatense				6				32	34					2007	2007										0	0	0	0	0	0			1695-6370			ZOOREC:ZOOR14604027732	
J	Wyrwoll, Thomas W.								A revised description of the Mediterranean (= southern Spanish) ibex.				Eine Neubeschreibung des sudspanischen Steinbocks.				Saugetierkundliche Mitteilungen				44	2			93	98					1999	1999										0	0	0	0	0	0			0036-2344			ZOOREC:ZOOR13600053952	
J	STEINMANN H								A REVISION OF THE GENUS ABOROLABIS DERMAPTERA CARCINOPHORIDAE								EOS-Revista Espanola de Entomologia				53	1-abr			213	222					1977	1977										0	0	0	0	0	0			0013-9440			BIOSIS:PREV198070044607	
J	"Mendoza, Irene; Zamora, Regino; Castro, Jorge"				"Mendoza, Irene/A-3729-2012; Mendoza Sagrera, Irene/G-1134-2014; Castro, Jorge/M-1509-2014"	"Mendoza, Irene/0000-0002-8692-0507; Mendoza Sagrera, Irene/0000-0002-3288-6366; Castro, Jorge/0000-0002-6362-2240"			A seeding experiment for testing tree-community recruitment under variable environments: Implications for forest regeneration and conservation in Mediterranean habitats								BIOLOGICAL CONSERVATION				142	7			1491	1499		10.1016/j.biocon.2009.02.018			jul-09	2009										38	0	0	34	0	38			jun-07			WOS:000266752500025	
J	"Ortiz, JL; Gutierrez, PJ; Casanova, V; Sota, A"				Gutierrez, Pedro/K-9637-2014	Gutierrez, Pedro/0000-0002-7332-6269			A study of short term rotational variability in TNOs and Centaurs from Sierra Nevada Observatory								ASTRONOMY & ASTROPHYSICS				407	3			1149	1155		10.1051/0004-6361:20030972			sept-03	2003										43	0	0	0	0	43			abr-61			WOS:000184669400039	
J	"Perez, JM; Granados, JE; Perez, MC; Marquez, FJ; Ferroglio, E; Rossi, L"				Marquez, Francisco J./N-1849-2015	Marquez, Francisco J./0000-0002-1450-6235			A survey of the gastrointestinal nematodes of Spanish ibex (Capra pyrenaica) in a high mountain habitat								JOURNAL OF PARASITOLOGY				89	2			315	318		"10.1645/0022-3395(2003)089[0315:ASOTGN]2.0.CO;2"			abr-03	2003										8	0	0	8	0	8			0022-3395			WOS:000182535500016	12760646
J	"Matthews, KR; Pope, KL"				Matthews, Kathleen/G-8773-2012				A telemetric study of the movement patterns and habitat use of Rana muscosa, the mountain yellow-legged frog, in a high-elevation basin in Kings Canyon National Park, California								JOURNAL OF HERPETOLOGY				33	4			615	624		10.2307/1565578			dic-99	1999										44	1	0	39	0	47			0022-1511			WOS:000084139200012	
J	Desjardin, DL								A unique ballistosporic hypogeous sequestrate Lactarius from California								MYCOLOGIA				95	1			148	155		10.2307/3761974			JAN-FEB 2003	2003										17	0	0	18	0	18			0027-5514			WOS:000181049400020	21156601
J	"Palenzuelal, Javier; Azcon-Aguilar, Concepcion; Berea, Jose-Miguel; da Silva, Gladstone Alves; Oehl, Fritz"				Silva, Gladstone/E-5110-2013				Acaulospora baetica, a new arbuscular mycorrhizal fungal species from two mountain ranges in Andalucia (Spain)								NOVA HEDWIGIA				101	3-abr			463	474		10.1127/nova_hedwigia/2015/0285			2015	2015										1	0	0	1	0	1			0029-5035			WOS:000365066900015	
