"Journal";"ISSN";"Cites";"IFactor";"5IFactor";"Index";"Articles";"HalfLife";"Eigenfactor";"Influence";"Categoria"
"ANN ZOOL FENN";"0003-455X";1568;0.855;1.219;0.217;46;">10.0";0.00122;0.433;"ZOOLOGY"
"ANNU REV ANIM BIOSCI";"2165-8102";114;3.857;3.857;1.32;25;"1.3";0.00033;1.004;"ZOOLOGY"
"AQUAT MAMM";"0167-5427";789;1.015;NA;0.043;46;">10.0";0.00093;NA;"ZOOLOGY"
"ASIAN HERPETOL RES";"2095-0357";69;0.513;0.536;0.031;32;"";0.00028;0.139;"ZOOLOGY"
"AUST J ZOOL";"0004-959X";1888;0.941;0.922;0.324;34;">10.0";0.00107;0.275;"ZOOLOGY"
"AUST MAMMAL";"0310-0049";338;0.831;NA;0.028;36;">10.0";4e-04;NA;"ZOOLOGY"
"BEHAV ECOL";"1045-2249";8176;3.177;3.35;0.989;174;"7.9";0.01672;1.204;"ZOOLOGY"
"BEHAV ECOL SOCIOBIOL";"0340-5443";10652;2.35;2.929;0.59;195;">10.0";0.01511;1.023;"ZOOLOGY"
"BEHAV PROCESS";"0376-6357";3243;1.567;1.689;0.355;203;"7.4";0.00661;0.546;"ZOOLOGY"
"BEHAVIOUR";"0005-7959";4852;1.23;1.652;0.542;96;">10.0";0.00359;0.562;"ZOOLOGY"
"BELG J ZOOL";"0777-6276";380;0.871;0.796;0;11;"9.8";0.00035;0.228;"ZOOLOGY"
"BIOACOUSTICS";"0952-4622";349;1.5;1.294;0.353;17;">10.0";0.00041;0.378;"ZOOLOGY"
"BOL INST PESCA";"0046-9939";396;0.474;0.627;0.053;57;"8.0";0.00048;0.144;"ZOOLOGY"
"BRAIN BEHAV EVOLUT";"0006-8977";2138;2.013;2.423;0.488;43;">10.0";0.00247;0.746;"ZOOLOGY"
"CALDASIA";"0366-5232";219;0.266;0.278;0.034;29;">10.0";0.00021;0.084;"ZOOLOGY"
"CALIF FISH GAME";"0008-1078";316;0.243;0.302;0.211;19;">10.0";0.00015;0.11;"ZOOLOGY"
"CAN J ZOOL";"0008-4301";10460;1.303;1.618;0.214;117;">10.0";0.00575;0.579;"ZOOLOGY"
"CHELONIAN CONSERV BI";"1071-8443";627;0.738;1.011;0.083;36;"8.4";0.00083;0.28;"ZOOLOGY"
"COMP BIOCHEM PHYS A";"1095-6433";8876;1.966;2.258;0.508;122;">10.0";0.01017;0.657;"ZOOLOGY"
"COMP BIOCHEM PHYS B";"1096-4959";6390;1.551;1.831;0.363;80;">10.0";0.00459;0.479;"ZOOLOGY"
"COMP BIOCHEM PHYS C";"1532-0456";5946;2.301;2.819;0.709;79;"9.7";0.00597;0.68;"ZOOLOGY"
"COMP PARASITOL";"1525-2647";378;0.7;0.714;0.095;42;"7.2";0.00068;0.196;"ZOOLOGY"
"COMPARATIVE MED";"1532-0820";1103;0.742;1.188;0.085;59;"7.7";0.00169;0.35;"ZOOLOGY"
"CONTRIB ZOOL";"1383-4517";353;1.656;1.671;0.353;17;"7.5";6e-04;0.499;"ZOOLOGY"
"COPEIA";"0045-8511";3933;1.034;1.205;0.189;74;">10.0";0.00241;0.404;"ZOOLOGY"
"CURR ZOOL";"1674-5507";652;1.594;NA;0.921;76;"3.1";0.00327;NA;"ZOOLOGY"
"CYBIUM";"0399-0974";754;0.578;0.555;0.15;40;">10.0";0.00054;0.15;"ZOOLOGY"
"DEV COMP IMMUNOL";"0145-305X";5952;2.815;3.339;0.95;238;"6.2";0.009;0.706;"ZOOLOGY"
"ETHOL ECOL EVOL";"0394-9370";706;1.103;1.013;0.92;25;">10.0";0.00088;0.347;"ZOOLOGY"
"ETHOLOGY";"0179-1613";3847;1.791;1.895;0.41;122;"8.8";0.00587;0.598;"ZOOLOGY"
"EUR J TAXON";"2118-9773";70;1.312;NA;0.139;36;"";4e-04;NA;"ZOOLOGY"
"EUR J WILDLIFE RES";"1612-4642";1288;1.634;1.57;0.395;114;"4.4";0.00419;0.493;"ZOOLOGY"
"EXP ANIM TOKYO";"1341-1357";750;0.965;1.102;0.333;51;"8.4";0.00144;0.371;"ZOOLOGY"
"FOLIA PRIMATOL";"0015-5713";1271;0.889;0.942;0.15;20;">10.0";0.00062;0.321;"ZOOLOGY"
"FOLIA ZOOL";"0139-7893";735;0.724;0.79;0.1;20;">10.0";0.00069;0.204;"ZOOLOGY"
"FRONT ZOOL";"1742-9994";1325;3.051;3.986;0.5;86;"4.6";0.00517;1.536;"ZOOLOGY"
"GAYANA";"0717-6538";198;0.222;0.369;0.056;18;"8.9";0.00022;0.127;"ZOOLOGY"
"HELMINTHOLOGIA";"0440-6605";367;0.678;0.66;0.059;51;"7.2";0.00049;0.144;"ZOOLOGY"
"HERPETOL CONSERV BIO";"2151-0733";323;0.595;0.796;0.155;58;"4.6";0.00111;0.255;"ZOOLOGY"
"HERPETOL J";"0268-0130";544;0.9;0.929;0.171;35;"8.9";0.00069;0.239;"ZOOLOGY"
"HERPETOL MONOGR";"0733-1347";297;1.727;1.852;0.167;6;">10.0";0.00028;0.646;"ZOOLOGY"
"HERPETOLOGICA";"0018-0831";2253;1.14;1.246;0.308;39;">10.0";0.00136;0.423;"ZOOLOGY"
"HERPETOZOA";"1013-4425";175;0.8;NA;0.105;19;">10.0";0.00019;NA;"ZOOLOGY"
"HYSTRIX";"0394-1914";339;2.86;1.577;0.292;24;"4.1";0.00104;0.533;"ZOOLOGY"
"ICHTHYOL EXPLOR FRES";"0936-9902";557;1.4;1.171;0.343;35;">10.0";0.00075;0.336;"ZOOLOGY"
"ICHTHYOL RES";"1341-8998";628;0.81;0.752;0.231;39;"8.6";0.00088;0.215;"ZOOLOGY"
"IHERINGIA SER ZOOL";"0073-4721";568;0.573;0.621;0.017;60;"7.8";0.00086;0.193;"ZOOLOGY"
"INT J PRIMATOL";"0164-0291";2988;1.993;2.062;0.781;64;">10.0";0.00376;0.663;"ZOOLOGY"
"INTEGR COMP BIOL";"1540-7063";3890;2.929;3.655;1.087;103;"8.0";0.00828;1.361;"ZOOLOGY"
"INTEGR ZOOL";"1749-4877";469;1.904;1.695;0.706;51;"4.1";0.00173;0.554;"ZOOLOGY"
"INVERTEBR BIOL";"1077-8306";706;1.2;1.337;0.448;29;"8.6";0.00106;0.416;"ZOOLOGY"
"INVERTEBR REPROD DEV";"0792-4259";611;0.609;0.69;0.167;36;">10.0";0.00045;0.201;"ZOOLOGY"
"INVERTEBR SYST";"1445-5226";718;2.264;2.006;0.686;35;"6.2";0.00178;0.715;"ZOOLOGY"
"ISJ-INVERT SURVIV J";"1824-307X";209;0.929;1.158;0.4;5;"4.7";0.00054;0.282;"ZOOLOGY"
"ITAL J ZOOL";"1125-0003";760;0.791;0.763;0.143;63;">10.0";0.0011;0.217;"ZOOLOGY"
"J AM ASSOC LAB ANIM";"1559-6109";733;1.118;1.2;0.132;76;"4.5";0.00189;0.291;"ZOOLOGY"
"J ANIM ECOL";"0021-8790";13619;4.504;5.316;1.097;144;">10.0";0.02251;2.145;"ZOOLOGY"
"J COMP NEUROL";"0021-9967";32992;3.225;3.659;1.047;213;">10.0";0.02589;1.36;"ZOOLOGY"
"J COMP PHYSIOL A";"0340-7594";5251;2.036;2.103;0.79;81;">10.0";0.0053;0.732;"ZOOLOGY"
"J COMP PHYSIOL B";"0174-1578";3263;2.619;2.265;0.329;82;"8.9";0.0053;0.696;"ZOOLOGY"
"J COMP PSYCHOL";"0735-7036";2776;2.344;2.286;0.902;41;">10.0";0.00327;0.892;"ZOOLOGY"
"J CONCHOL";"0022-0019";277;0.523;0.542;0;8;">10.0";3e-04;0.159;"ZOOLOGY"
"J ETHOL";"0289-0771";725;0.97;1.06;0.091;22;"6.9";0.00164;0.344;"ZOOLOGY"
"J EXP PSYCHOL-ANIM L";"0097-7403";2532;1.949;2.248;0.325;40;">10.0";0.00306;0.868;"ZOOLOGY"
"J EXP ZOOL PART A";"1932-5223";1231;1.44;1.616;0.345;58;"7.0";0.00251;0.494;"ZOOLOGY"
"J EXP ZOOL PART B";"1552-5007";1380;2.311;2.464;0.771;48;"5.8";0.00375;0.85;"ZOOLOGY"
"J HELMINTHOL";"0022-149X";1572;1.421;1.333;0.382;68;">10.0";0.00184;0.352;"ZOOLOGY"
"J HERPETOL";"0022-1511";2925;0.832;1.02;0.177;79;">10.0";0.00233;0.328;"ZOOLOGY"
"J INVERTEBR PATHOL";"0022-2011";4550;2.11;2.419;0.528;108;"8.3";0.0075;0.686;"ZOOLOGY"
"J MAMM EVOL";"1064-7554";587;2.357;2.961;0.417;24;"8.7";0.00131;1.069;"ZOOLOGY"
"J MAMMAL";"0022-2372";7083;1.84;2.247;0.385;109;">10.0";0.00778;0.709;"ZOOLOGY"
"J MED PRIMATOL";"0047-2565";789;0.819;1.074;0.183;60;"8.6";0.00114;0.279;"ZOOLOGY"
"J MOLLUS STUD";"0260-1230";1509;1.362;1.618;0.431;72;">10.0";0.0019;0.497;"ZOOLOGY"
"J NEMATOL";"0022-300X";1960;1.081;1.028;0.258;31;">10.0";0.00092;0.32;"ZOOLOGY"
"J THERM BIOL";"0306-4565";2087;1.505;1.678;0.397;73;"9.4";0.00312;0.493;"ZOOLOGY"
"J WILDLIFE MANAGE";"0022-541X";9309;1.726;2.035;0.285;144;">10.0";0.00973;0.643;"ZOOLOGY"
"J ZOOL";"0952-8369";7571;1.883;2.078;0.612;98;">10.0";0.00617;0.724;"ZOOLOGY"
"J ZOOL SYST EVOL RES";"0947-5745";912;1.677;1.683;0.559;34;"7.5";0.00205;0.639;"ZOOLOGY"
"LAB ANIM-UK";"0023-6772";1506;1.12;1.373;0.45;40;">10.0";0.00179;0.434;"ZOOLOGY"
"LEARN BEHAV";"1543-4494";748;1.885;2.006;0.118;34;"6.2";0.00211;0.739;"ZOOLOGY"
"MALACOLOGIA";"0076-2997";873;0.532;1.25;0;13;">10.0";0.00076;0.387;"ZOOLOGY"
"MAMM BIOL";"1616-5047";892;1.478;1.526;0.414;58;"4.6";0.00279;0.499;"ZOOLOGY"
"MAMM STUDY";"1343-4152";219;0.532;0.565;0.031;32;"6.9";0.00037;0.136;"ZOOLOGY"
"MAMMAL REV";"0305-1838";1514;4.256;4.284;1.286;21;"9.9";0.00198;1.414;"ZOOLOGY"
"MAMMALIA";"0025-1461";1037;0.681;0.828;0.172;64;">10.0";0.00102;0.246;"ZOOLOGY"
"MAR MAMMAL SCI";"0824-0469";2765;1.936;2.091;0.42;100;">10.0";0.00355;0.616;"ZOOLOGY"
"MOLLUSCAN RES";"1323-5818";169;0.512;0.643;0.292;24;"7.0";0.00036;0.23;"ZOOLOGY"
"NAUTILUS";"0028-1344";445;0.472;0.517;0.188;16;">10.0";0.00034;0.184;"ZOOLOGY"
"NEMATOLOGY";"1388-5545";1466;1.239;1.299;0.33;103;"8.2";0.00176;0.276;"ZOOLOGY"
"NEMATROPICA";"0099-5444";270;0.128;0.299;0;16;">10.0";0.00025;0.095;"ZOOLOGY"
"NEOTROP ICHTHYOL";"1679-6225";915;0.802;1.216;0.177;79;"5.4";0.00219;0.327;"ZOOLOGY"
"NEW ZEAL J ZOOL";"0301-4223";889;0.964;1.116;0.464;28;">10.0";0.00095;0.409;"ZOOLOGY"
"NORTH-WEST J ZOOL";"1584-9074";284;0.869;0.841;0.208;77;"3.3";9e-04;0.21;"ZOOLOGY"
"ORG DIVERS EVOL";"1439-6092";849;2.888;2.783;0.6;35;"4.7";0.00243;0.949;"ZOOLOGY"
"PAC SCI";"0030-8870";1211;0.924;0.961;0.143;42;">10.0";0.00099;0.304;"ZOOLOGY"
"PACHYDERM";"1026-2881";129;0.273;0.427;0.222;9;"9.5";0.00018;0.134;"ZOOLOGY"
"PAK J ZOOL";"0030-9923";628;0.404;0.447;0.096;249;"3.9";0.00099;0.07;"ZOOLOGY"
"PHYSIOL BIOCHEM ZOOL";"1522-2152";2629;2.398;2.48;0.532;77;"8.3";0.005;0.889;"ZOOLOGY"
"PRIMATES";"0032-8332";1786;1.337;1.425;0.161;62;">10.0";0.00129;0.378;"ZOOLOGY"
"RAFFLES B ZOOL";"0217-2445";1047;1.024;1.158;0.165;97;"6.7";0.00191;0.345;"ZOOLOGY"
"REC AUST MUS";"0067-1975";636;0.3;1.192;0.273;11;">10.0";0.00032;0.392;"ZOOLOGY"
"REDIA";"0370-4327";379;0.5;NA;0.077;26;">10.0";0.00025;NA;"ZOOLOGY"
"REPROD FERT DEVELOP";"1031-3613";2949;2.4;2.615;0.426;108;"6.5";0.00617;0.759;"ZOOLOGY"
"REV SUISSE ZOOL";"0035-418X";806;0.431;0.397;0.087;23;">10.0";0.00036;0.146;"ZOOLOGY"
"RUSS J NEMATOL";"0869-6918";187;0.793;0.756;0.333;15;"8.2";0.00025;0.194;"ZOOLOGY"
"S AFR J WILDL RES";"0379-4369";473;0.946;1.036;0.19;21;">10.0";0.00053;0.302;"ZOOLOGY"
"SALAMANDRA";"0036-3375";222;1.1;NA;0.158;19;"8.1";0.00038;NA;"ZOOLOGY"
"SPIXIANA";"0341-8391";206;0.537;0.5;0.222;27;">10.0";0.00023;0.148;"ZOOLOGY"
"STUD NEOTROP FAUNA E";"0165-0521";514;0.796;0.709;0.071;28;">10.0";0.00044;0.239;"ZOOLOGY"
"TROP ZOOL";"0394-6975";255;0.84;0.831;0;11;">10.0";0.00029;0.286;"ZOOLOGY"
"TURK J ZOOL";"1300-0179";775;0.63;0.681;0.248;101;"7.9";0.00113;0.166;"ZOOLOGY"
"URSUS";"1537-6176";538;0.78;1.081;0.167;18;">10.0";0.00047;0.297;"ZOOLOGY"
"VERTEBR ZOOL";"1864-5755";111;0.593;NA;0.12;25;"3.8";0.00031;NA;"ZOOLOGY"
"VET COMP ORTHOPAED";"0932-0814";1018;0.894;1.15;0.156;77;"6.2";0.00209;0.323;"ZOOLOGY"
"WILDLIFE BIOL";"0909-6396";1126;0.88;1.313;0.133;45;"8.7";0.0017;0.472;"ZOOLOGY"
"WILDLIFE MONOGR";"0084-0173";664;5.2;5;0.833;6;">10.0";0.00041;2.009;"ZOOLOGY"
"WILDLIFE RES";"1035-3712";2320;1.487;1.771;0.049;41;"9.4";0.00357;0.578;"ZOOLOGY"
"ZEBRAFISH";"1545-8547";759;1.946;2.285;0.379;66;"5.1";0.00201;0.633;"ZOOLOGY"
"ZOO BIOL";"0733-3188";1302;0.831;1.092;0.194;67;">10.0";0.00142;0.292;"ZOOLOGY"
"ZOOKEYS";"1313-2989";1748;0.933;0.973;0.21;519;"2.8";0.00832;0.313;"ZOOLOGY"
"ZOOL ANZ";"0044-5231";1520;1.483;1.671;0.4;30;">10.0";0.00137;0.527;"ZOOLOGY"
"ZOOL J LINN SOC-LOND";"0024-4082";3787;2.717;2.828;0.695;95;"9.2";0.00758;1.04;"ZOOLOGY"
"ZOOL MIDDLE EAST";"0939-7140";373;0.411;0.522;0.152;46;"7.8";0.00068;0.154;"ZOOLOGY"
"ZOOL SCI";"0289-0003";2227;0.857;0.951;0.188;112;"9.7";0.00296;0.292;"ZOOLOGY"
"ZOOL SCR";"0300-3256";1884;3.224;3.121;0.347;49;"8.2";0.004;1.129;"ZOOLOGY"
"ZOOL STUD";"1021-5506";1007;0.776;0.935;0.157;70;"7.5";0.00188;0.275;"ZOOLOGY"
"ZOOL ZH";"0044-5134";910;0.14;0.163;0.053;131;">10.0";0.00078;0.064;"ZOOLOGY"
"ZOOLOGIA-CURITIBA";"1984-4670";394;0.538;0.787;0.087;69;"4.0";0.00206;0.263;"ZOOLOGY"
"ZOOLOGY";"0944-2006";1118;1.67;1.884;0.647;51;"7.6";0.00216;0.63;"ZOOLOGY"
"ZOOMORPHOLOGY";"0720-213X";897;1.702;1.365;0.242;33;">10.0";0.00094;0.469;"ZOOLOGY"
"ZOOSYSTEMA";"1280-9551";379;0.692;0.822;0.318;22;"8.5";8e-04;0.299;"ZOOLOGY"
"ZOOTAXA";"1175-5326";11168;0.906;0.945;0.283;1867;"4.1";0.02571;0.204;"ZOOLOGY"
"ADV WATER RESOUR";"0309-1708";6998;3.417;3.593;0.483;147;"7.1";0.01671;1.365;"WATER RESOURCES"
"AGR WATER MANAGE";"0378-3774";7509;2.286;3.017;0.464;222;"6.9";0.01408;0.821;"WATER RESOURCES"
"AQUAT CONSERV";"1052-7613";2369;2.136;2.27;0.465;86;"6.9";0.00418;0.696;"WATER RESOURCES"
"CAN WATER RESOUR J";"0701-1784";454;1.333;1.272;2.129;31;"6.1";0.00083;0.42;"WATER RESOURCES"
"CATENA";"0341-8162";6269;2.82;3.074;0.632;258;"8.3";0.0083;0.827;"WATER RESOURCES"
"CHINA OCEAN ENG";"0890-5487";302;0.344;0.498;0.071;70;"5.8";0.00059;0.121;"WATER RESOURCES"
"CLEAN-SOIL AIR WATER";"1863-0650";1979;1.945;2.153;0.243;222;"3.9";0.00432;0.382;"WATER RESOURCES"
"DESALIN WATER TREAT";"1944-3994";3187;1.173;1.017;0.109;852;"2.8";0.00927;0.193;"WATER RESOURCES"
"DESALINATION";"0011-9164";24618;3.756;3.778;0.495;418;"5.9";0.04146;0.796;"WATER RESOURCES"
"ECOHYDROLOGY";"1936-0584";1234;2.426;3.086;0.602;123;"3.5";0.00495;0.954;"WATER RESOURCES"
"ENG SANIT AMBIENT";"1413-4152";157;0.241;0.282;0.019;52;"6.6";0.00026;0.07;"WATER RESOURCES"
"ENVIRON EARTH SCI";"1866-6280";4852;1.765;2.013;0.264;828;"2.9";0.01272;0.349;"WATER RESOURCES"
"ENVIRON FLUID MECH";"1567-7419";548;1.297;1.617;0.429;63;"5.7";0.00174;0.658;"WATER RESOURCES"
"ENVIRON GEOCHEM HLTH";"0269-4042";2047;2.566;2.755;0.188;85;"6.3";0.00391;0.71;"WATER RESOURCES"
"ENVIRON TOXICOL";"1520-4081";2996;3.197;2.869;0.497;147;"8.0";0.0039;0.671;"WATER RESOURCES"
"GEOMAT NAT HAZ RISK";"1947-5705";127;1.31;1.465;0.043;23;"3.5";0.00063;0.459;"WATER RESOURCES"
"GROUND WATER MONIT R";"1069-3629";815;0.944;1.451;0.129;31;"8.9";0.00115;0.397;"WATER RESOURCES"
"GROUNDWATER";"0017-467X";5318;2.307;2.675;0.509;112;">10.0";0.00589;0.808;"WATER RESOURCES"
"GRUNDWASSER";"1430-483X";111;0.676;0.711;0;20;"5.1";0.00023;0.162;"WATER RESOURCES"
"HOUILLE BLANCHE";"0018-6368";354;0.287;0.238;0.167;66;">10.0";0.00045;0.088;"WATER RESOURCES"
"HYDROGEOL J";"1431-2174";3895;1.966;2.334;0.472;123;"7.6";0.00742;0.743;"WATER RESOURCES"
"HYDROL EARTH SYST SC";"1027-5606";8855;3.535;4.292;0.786;332;"4.4";0.02845;1.394;"WATER RESOURCES"
"HYDROL PROCESS";"0885-6087";15618;2.677;3.353;0.588;468;"7.8";0.0259;1.022;"WATER RESOURCES"
"HYDROL RES";"1998-9563";537;1.555;1.744;0.306;62;"3.3";0.00209;0.494;"WATER RESOURCES"
"HYDROL WASSERBEWIRTS";"1439-1783";83;0.486;0.415;0.773;22;"";0.00028;0.166;"WATER RESOURCES"
"HYDROLOG SCI J";"0262-6667";3849;1.549;1.864;0.549;142;"9.8";0.00487;0.586;"WATER RESOURCES"
"INT J SEDIMENT RES";"1001-6279";535;1.306;1.615;0.109;46;"5.0";0.00154;0.456;"WATER RESOURCES"
"INT J WATER RESOUR D";"0790-0627";775;1.094;1.192;0.569;51;"7.0";0.0011;0.324;"WATER RESOURCES"
"IRRIG DRAIN";"1531-0353";978;0.51;0.672;0.059;68;"9.1";0.00127;0.199;"WATER RESOURCES"
"IRRIGATION SCI";"0342-7188";1618;2.056;2.429;0.222;36;"7.0";0.00338;0.801;"WATER RESOURCES"
"J AM WATER RESOUR AS";"1093-474X";4275;1.348;2.226;0.591;110;"9.5";0.00546;0.699;"WATER RESOURCES"
"J AM WATER WORKS ASS";"2164-4535";2247;0.429;0.557;0.143;140;">10.0";0.00112;0.148;"WATER RESOURCES"
"J CONTAM HYDROL";"0169-7722";4570;2.204;2.785;0.388;116;"9.2";0.00663;0.88;"WATER RESOURCES"
"J FLOOD RISK MANAG";"1753-318X";293;1.119;1.544;0.516;31;"4.3";0.00103;0.436;"WATER RESOURCES"
"J HYDRAUL ENG";"0733-9429";7979;1.621;1.905;0.262;122;">10.0";0.00552;0.549;"WATER RESOURCES"
"J HYDRAUL RES";"0022-1686";2636;1.762;1.84;0.254;71;">10.0";0.00453;0.672;"WATER RESOURCES"
"J HYDRO-ENVIRON RES";"1570-6443";507;2.474;2.687;0.268;41;"4.2";0.00222;0.953;"WATER RESOURCES"
"J HYDROINFORM";"1464-7141";919;1.388;1.585;0.319;91;"5.4";0.00171;0.366;"WATER RESOURCES"
"J HYDROL";"0022-1694";33300;3.053;3.912;0.488;830;"8.6";0.04911;1.124;"WATER RESOURCES"
"J HYDROL ENG";"1084-0699";3054;1.583;1.927;0.284;204;"6.8";0.00539;0.499;"WATER RESOURCES"
"J HYDROL HYDROMECH";"0042-790X";227;1.486;1.049;0.425;40;"2.8";0.00059;0.258;"WATER RESOURCES"
"J IRRIG DRAIN ENG";"0733-9437";2693;0.974;1.244;0.267;86;">10.0";0.00291;0.36;"WATER RESOURCES"
"J PIPELINE SYST ENG";"1949-1190";84;0.923;1.079;0.083;24;"";0.00046;0.385;"WATER RESOURCES"
"J SOIL WATER CONSERV";"0022-4561";2652;1.595;1.854;0.533;75;">10.0";0.00273;0.57;"WATER RESOURCES"
"J WATER CLIM CHANGE";"2040-2244";126;0.786;1.214;0.125;48;"3.3";5e-04;0.321;"WATER RESOURCES"
"J WATER RES PLAN MAN";"0733-9496";3491;2.676;2.982;0.347;121;">10.0";0.00347;0.669;"WATER RESOURCES"
"J WATER REUSE DESAL";"2220-1319";31;0.277;0.333;0.036;28;"";0.00012;0.086;"WATER RESOURCES"
"J WATER SANIT HYG DE";"2043-9083";73;0.439;0.492;0.16;75;"";0.00023;0.121;"WATER RESOURCES"
"J WATER SUPPLY RES T";"0003-7214";835;0.843;0.868;0.154;65;"9.0";0.00098;0.238;"WATER RESOURCES"
"J WATERW PORT COAST";"0733-950X";1345;0.792;1.04;0.391;46;">10.0";0.00146;0.461;"WATER RESOURCES"
"LAKE RESERV MANAGE";"1040-2381";606;0.803;1.153;0.455;33;"8.3";0.00075;0.278;"WATER RESOURCES"
"MEMBR WATER TREAT";"2005-8624";42;0.625;0.506;0.05;20;"";0.00022;0.168;"WATER RESOURCES"
"MINE WATER ENVIRON";"1025-9112";345;1.206;1.124;0.027;37;"6.2";0.00058;0.251;"WATER RESOURCES"
"NAT HAZARD EARTH SYS";"1561-8633";4074;1.735;2.168;0.429;231;"4.5";0.01305;0.66;"WATER RESOURCES"
"NAT HAZARDS";"0921-030X";4857;1.719;1.953;0.26;507;"4.5";0.01214;0.527;"WATER RESOURCES"
"NAT HAZARDS REV";"1527-6988";557;1.143;1.196;0.258;31;"8.5";0.00091;0.514;"WATER RESOURCES"
"OCEAN COAST MANAGE";"0964-5691";2672;1.748;2;0.367;251;"5.8";0.00545;0.533;"WATER RESOURCES"
"P I CIVIL ENG-MAR EN";"1741-7597";70;0.312;0.438;1.077;13;"";0.00018;0.141;"WATER RESOURCES"
"P I CIVIL ENG-WAT M";"1741-7589";519;0.98;0.97;1.167;48;"5.2";0.00116;0.308;"WATER RESOURCES"
"PHYS CHEM EARTH";"1474-7065";3159;1.477;1.666;0.175;57;"7.6";0.00495;0.489;"WATER RESOURCES"
"RIVER RES APPL";"1535-1459";2802;2.025;2.496;0.486;105;"6.3";0.00658;0.806;"WATER RESOURCES"
"SOIL WATER RES";"1801-5395";115;0.659;NA;0.111;27;"4.9";0.00025;NA;"WATER RESOURCES"
"STOCH ENV RES RISK A";"1436-3240";1900;2.086;2.348;0.421;159;"4.7";0.00481;0.595;"WATER RESOURCES"
"TECNOL CIENC AGUA";"0187-8336";12;0.047;0.063;0;49;"";4e-05;0.012;"WATER RESOURCES"
"URBAN WATER J";"1573-062X";846;1.794;1.939;0.333;57;"8.7";0.00128;0.493;"WATER RESOURCES"
"VADOSE ZONE J";"1539-1663";3020;1.778;2.248;0.402;97;"6.3";0.00748;0.784;"WATER RESOURCES"
"WASSERWIRTSCHAFT";"0043-0978";107;0.087;0.079;0.044;90;"7.2";8e-05;0.01;"WATER RESOURCES"
"WATER AIR SOIL POLL";"0049-6979";10861;1.554;1.872;0.177;435;"9.4";0.01395;0.451;"WATER RESOURCES"
"WATER ENVIRON J";"1747-6585";513;1.344;1.28;0.062;65;"4.1";0.00143;0.354;"WATER RESOURCES"
"WATER ENVIRON RES";"1061-4303";2170;0.865;0.946;0.053;150;"8.4";0.00285;0.241;"WATER RESOURCES"
"WATER INT";"0250-8060";908;0.686;0.87;0.452;62;">10.0";0.00106;0.248;"WATER RESOURCES"
"WATER POLICY";"1366-7017";799;0.833;0.888;0.083;84;"7.1";0.00155;0.286;"WATER RESOURCES"
