Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
EUR PHYS J E;1292-8941;3586;1.757;1.831;0.283;113;8.3;0.00829;0.782
FARADAY DISCUSS;1359-6640;6924;4.606;4.390;1.152;165;7.8;0.01665;1.678
FLUID PHASE EQUILIBR;0378-3812;11657;2.200;2.334;0.603;506;8.3;0.01513;0.551
FULLER NANOTUB CAR N;1536-383X;543;0.836;0.853;0.243;107;4.3;0.00101;0.166
GOLD BULL;0017-1557;1212;1.590;2.541;0.379;29;9.0;0.00129;0.556
HIGH ENERG CHEM+;0018-1439;577;0.898;0.639;0.324;68;6.0;0.00078;0.118
INT J CHEM KINET;0538-8066;2630;1.517;1.324;0.338;65;>10.0;0.00227;0.383
INT J HYDROGEN ENERG;0360-3199;44859;3.313;3.659;0.539;2331;4.3;0.08226;0.619
INT J PHOTOENERGY;1110-662X;1743;1.563;1.720;0.247;316;2.8;0.00393;0.338
INT J QUANTUM CHEM;0020-7608;7862;1.432;1.191;0.959;172;>10.0;0.00993;0.335
INT J THERMOPHYS;0195-928X;3251;0.963;1.018;0.151;192;9.6;0.00456;0.290
INT REV PHYS CHEM;0144-235X;1553;7.034;6.282;0.750;16;9.1;0.00268;2.375
INTERMETALLICS;0966-9795;6969;2.131;2.204;0.660;241;6.5;0.01517;0.673
IONICS;0947-7047;2161;1.754;1.810;0.355;203;4.9;0.00353;0.323
J ADV OXID TECHNOL;1203-8407;361;0.988;0.964;0.188;48;5.3;0.00060;0.195
J ALLOY COMPD;0925-8388;54156;2.999;2.716;0.982;2952;5.0;0.10301;0.557
J AM SOC MASS SPECTR;1044-0305;8419;2.945;2.959;0.730;233;6.9;0.01661;0.875
J CATAL;0021-9517;39917;6.921;7.310;1.410;315;>10.0;0.03550;1.622
J CHEM THEORY COMPUT;1549-9618;17918;5.498;5.760;1.195;550;3.9;0.05994;1.761
J CHEM THERMODYN;0021-9614;7899;2.679;2.531;0.784;365;6.0;0.01331;0.580
J COLLOID INTERF SCI;0021-9797;52238;3.368;3.637;0.827;706;8.9;0.06124;0.827
J DISPER SCI TECHNOL;0193-2691;1939;0.795;0.824;0.209;206;5.9;0.00282;0.155
J ENERG MATER;0737-0652;378;1.295;1.347;0.162;37;7.7;0.00063;0.329
J ENERGY CHEM;2095-4956;314;2.352;2.352;0.241;108;1.5;0.00081;0.420
J MATER CHEM A;2050-7488;18266;7.443;7.449;1.590;2499;1.4;0.04432;1.457
J MOL CATAL A-CHEM;1381-1169;19981;3.615;3.732;0.822;400;8.2;0.01815;0.713
J MOL CATAL B-ENZYM;1381-1177;5533;2.128;2.622;0.433;252;5.6;0.00938;0.526
J MOL LIQ;0167-7322;4563;2.515;2.154;0.800;545;3.9;0.00791;0.439
J MOL STRUCT;0022-2860;14924;1.602;1.585;0.374;831;7.4;0.01723;0.295
J NAT GAS CHEM;1003-9953;1302;2.398;2.142;;0;4.8;0.00282;0.443
J PHASE EQUILIB DIFF;1547-7037;1946;0.482;0.623;0.159;69;>10.0;0.00179;0.230
J PHOTOCH PHOTOBIO A;1010-6030;13268;2.495;2.549;0.609;238;9.4;0.01139;0.538
J PHOTOCH PHOTOBIO C;1389-5567;2767;16.091;14.824;2.200;20;6.9;0.00427;3.630
J PHYS CHEM A;1089-5639;57311;2.693;2.713;0.676;1274;7.6;0.09689;0.777
J PHYS CHEM B;1520-6106;123262;3.302;3.528;0.754;1523;9.0;0.14274;0.989
J PHYS CHEM C;1932-7447;113624;4.772;5.295;0.768;3411;4.3;0.30727;1.234
J PHYS CHEM LETT;1948-7185;20052;7.458;7.536;2.017;689;2.8;0.09524;2.425
J PHYS CHEM REF DATA;0047-2689;5881;2.811;4.250;1.000;17;>10.0;0.00172;1.356
J PHYS ORG CHEM;0894-3230;2684;1.380;1.332;0.512;123;7.7;0.00402;0.334
J POROUS MAT;1380-2224;1577;1.108;1.343;0.270;126;5.8;0.00250;0.274
J SOLID STATE CHEM;0022-4596;21321;2.133;2.344;0.532;385;>10.0;0.02204;0.550
J SOLUTION CHEM;0095-9782;3246;1.177;1.303;0.248;149;>10.0;0.00341;0.292
J STRUCT CHEM+;0022-4766;1674;0.508;0.548;0.117;223;>10.0;0.00176;0.117
J SUPERCRIT FLUID;0896-8446;7086;2.371;2.919;0.511;278;5.9;0.01101;0.577
J SURFACTANTS DETERG;1097-3958;1276;1.685;1.719;0.244;135;5.6;0.00162;0.271
J THERM ANAL CALORIM;1388-6150;11845;2.042;1.750;0.428;828;5.7;0.01328;0.251
J WATER CHEM TECHNO+;1063-455X;130;0.231;0.296;0.060;50;5.3;0.00022;0.053
JOHNSON MATTHEY TECH;2056-5135;1;;;0.067;15;;0.00000;
KINET CATAL+;0023-1584;1385;0.758;0.762;0.072;97;>10.0;0.00158;0.179
LANGMUIR;0743-7463;118847;4.457;4.543;0.682;1850;7.2;0.18462;1.096
MAGN RESON CHEM;0749-1581;3328;1.179;1.225;0.200;105;9.2;0.00375;0.316
MICROPOR MESOPOR MAT;1387-1811;18529;3.453;3.552;0.846;519;6.2;0.02855;0.757
MOL SIMULAT;0892-7022;2006;1.133;1.078;0.618;123;7.6;0.00332;0.312
NANO ENERGY;2211-2855;2755;10.325;10.355;1.611;221;1.8;0.00826;2.252
NANO LETT;1530-6984;118534;13.592;14.887;2.552;1103;4.9;0.36396;4.889
NANO RES;1998-0124;5222;7.010;8.387;1.374;174;3.9;0.01741;2.133
NAT MATER;1476-1122;64622;36.503;44.046;7.242;153;6.1;0.19755;17.850
PART PART SYST CHAR;0934-0866;1216;3.081;2.509;1.038;131;2.2;0.00209;0.615
PETROL CHEM+;0965-5441;421;0.420;0.479;0.030;99;5.5;0.00087;0.121
PHOTOCH PHOTOBIO SCI;1474-905X;5185;2.267;2.618;0.492;183;5.6;0.01153;0.699
PHYS CHEM CHEM PHYS;1463-9076;60356;4.493;4.219;0.991;2880;3.9;0.17937;1.209
PHYS CHEM GLASSES-B;1753-3562;1256;0.691;0.675;0.185;27;>10.0;0.00068;0.187
PHYS CHEM LIQ;0031-9104;691;0.783;0.620;0.303;66;9.8;0.00064;0.120
PHYSICOCHEM PROBL MI;1643-1049;296;0.926;0.821;0.224;67;3.6;0.00054;0.157
PLASMONICS;1557-1955;1713;2.238;2.504;0.529;172;3.2;0.00507;0.619
PLATIN MET REV;0032-1400;815;1.974;2.033;0.286;7;>10.0;0.00068;0.475
PROG NUCL MAG RES SP;0079-6565;2127;7.237;6.281;1.684;19;8.7;0.00431;2.383
PROG REACT KINET MEC;1468-6783;226;0.354;0.543;0.030;33;>10.0;0.00017;0.078
PROG SURF SCI;0079-6816;1876;5.696;6.930;2.143;7;>10.0;0.00269;2.968
RADIAT PHYS CHEM;0969-806X;5789;1.380;1.404;0.403;506;8.7;0.00700;0.322
REACT KINET MECH CAT;1878-5190;631;1.170;1.168;0.176;142;3.0;0.00175;0.213
RUSS J PHYS CHEM A+;0036-0244;2840;0.562;0.492;0.097;413;8.7;0.00337;0.101
SCI TECHNOL ENERG MA;1347-9466;111;0.393;0.420;0.444;27;4.6;0.00017;0.076
SILICON-NETH;1876-990X;195;1.069;1.438;0.267;30;4.0;0.00063;0.307
SMALL;1613-6810;26638;8.368;8.646;1.704;581;4.3;0.07671;2.254
SOFT MATTER;1744-683X;27131;4.029;4.289;1.105;966;3.4;0.10152;1.227
SOLID STATE IONICS;0167-2738;23635;2.561;2.763;0.322;457;>10.0;0.01518;0.583
SOLID STATE NUCL MAG;0926-2040;1126;2.266;2.195;0.538;26;8.7;0.00211;0.682
SOLID STATE SCI;1293-2558;5809;1.839;1.991;0.403;196;5.5;0.01116;0.442
STRUCT BOND;0081-5993;1792;1.909;2.746;0.492;61;>10.0;0.00140;0.771
STRUCT CHEM;1040-0400;2117;1.837;1.596;0.355;183;4.3;0.00371;0.282
SURF INTERFACE ANAL;0142-2421;6060;1.245;1.290;0.149;328;>10.0;0.00696;0.313
SURF REV LETT;0218-625X;657;0.380;0.418;0.088;91;9.6;0.00043;0.070
SURF SCI;0039-6028;22766;1.925;1.835;0.668;232;>10.0;0.01617;0.583
SURF SCI REP;0167-5729;4495;14.765;18.563;0.182;11;>10.0;0.00487;6.385
TENSIDE SURFACT DET;0932-3414;405;0.739;0.648;0.067;60;9.6;0.00041;0.097
TETRAHEDRON-ASYMMETR;0957-4166;10854;2.155;2.038;0.483;209;9.0;0.01076;0.426
THEOR CHEM ACC;1432-881X;6462;2.233;2.104;0.757;136;6.8;0.00905;0.630
THERMOCHIM ACTA;0040-6031;14066;2.184;2.392;0.411;377;>10.0;0.01517;0.550
TOP CATAL;1022-5528;5969;2.365;2.739;0.682;170;6.4;0.01103;0.707
VIB SPECTROSC;0924-2031;3394;2.003;2.015;0.261;134;7.5;0.00508;0.483
Z NATURFORSCH A;0932-0784;1693;0.789;0.723;0.202;89;>10.0;0.00162;0.179
Z PHYS CHEM;0942-9352;1996;1.356;1.137;0.143;70;>10.0;0.00272;0.360;

