JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
CHEM-BIOL INTERACT;0009-2797;7771;2.577;2.817;0.470;236;6.8;0.01244;0.669;
CHEMBIOCHEM;1439-4227;10228;3.088;3.162;0.809;329;5.8;0.02654;1.056;
CHEMOECOLOGY;0937-7409;836;1.923;1.752;0.346;26;9.4;0.00123;0.580;
CHROMOSOMA;0009-5915;3334;4.602;3.726;0.667;48;>10.0;0.00626;1.590;
CHROMOSOME RES;0967-3849;2608;2.478;2.685;0.684;38;7.6;0.00633;1.123;
CLIN LIPIDOL;1758-4299;285;0.867;0.912;0.312;48;3.4;0.00115;0.245;
COMP BIOCHEM PHYS A;1095-6433;8876;1.966;2.258;0.508;122;>10.0;0.01017;0.657;
COMP BIOCHEM PHYS B;1096-4959;6390;1.551;1.831;0.363;80;>10.0;0.00459;0.479;
COMP BIOCHEM PHYS C;1532-0456;5946;2.301;2.819;0.709;79;9.7;0.00597;0.680;
COMP BIOCHEM PHYS D;1744-117X;640;2.055;2.107;0.385;26;4.6;0.00146;0.492;
COMP FUNCT GENOM;1531-6912;453;2.032;1.825;;0;7.2;0.00103;0.567;
CRIT REV BIOCHEM MOL;1040-9238;3088;7.714;7.086;1.481;27;8.7;0.00780;3.255;
CURR BIOL;0960-9822;48575;9.571;10.134;2.207;440;7.4;0.14406;4.990;
CURR DRUG METAB;1389-2002;3192;2.976;3.554;0.920;50;5.9;0.00627;0.894;
CURR GENOMICS;1389-2029;1301;2.342;3.257;0.167;42;4.4;0.00467;1.007;
CURR MED CHEM;0929-8673;14629;3.853;4.115;0.852;297;5.8;0.02853;1.006;
CURR OPIN CHEM BIOL;1367-5931;9712;6.813;8.501;1.524;103;6.6;0.02424;3.109;
CURR OPIN LIPIDOL;0957-9672;3864;5.656;5.659;1.250;64;6.6;0.00913;1.923;
CURR OPIN STRUC BIOL;0959-440X;10897;7.201;8.077;1.238;105;8.1;0.03091;4.047;
CURR PHARM BIOTECHNO;1389-2010;2729;1.950;2.558;0.420;112;3.9;0.00870;0.718;
CURR PROTEIN PEPT SC;1389-2037;1908;3.154;2.943;0.224;67;6.0;0.00483;0.960;
CURR PROTEOMICS;1570-1646;153;0.635;0.748;0.000;32;5.3;0.00042;0.195;
CURR TOP MEMBR;1063-5823;414;3.295;1.904;0.478;23;4.9;0.00154;0.845;
CYTOKINE;1043-4666;7066;2.664;2.717;0.593;150;6.1;0.01512;0.764;
CYTOKINE GROWTH F R;1359-6101;4708;5.357;7.968;0.841;69;8.3;0.00887;2.563;
DIAGN MOL PATHOL;1052-9551;846;1.861;1.876;;0;7.8;0.00166;0.590;
DNA CELL BIOL;1044-5498;3000;2.055;2.089;0.327;104;7.2;0.00462;0.479;
DOKL BIOCHEM BIOPHYS;1607-6729;298;0.343;0.347;0.087;46;6.0;0.00061;0.092;
EMBO J;0261-4189;72583;10.434;9.837;2.657;181;>10.0;0.12800;5.082;
EMBO REP;1469-221X;11419;9.055;8.043;2.274;106;6.8;0.03572;3.825;
EPIGENETICS-US;1559-2294;3802;4.780;5.081;0.876;169;3.3;0.01745;1.752;
ESSAYS BIOCHEM;0071-1365;812;2.844;3.819;0.067;15;4.9;0.00250;1.357;
EUR CYTOKINE NETW;1148-5493;1210;1.960;2.439;0.000;10;8.8;0.00150;0.640;
EUR J HUM GENET;1018-4813;8090;4.349;3.939;1.498;219;5.4;0.02518;1.489;
EXP MOL MED;1226-3613;2212;3.446;2.831;0.661;56;5.6;0.00532;0.811;
EXPERT OPIN DRUG MET;1742-5255;2555;2.831;2.747;0.426;122;4.8;0.00679;0.726;
EXPERT REV MOL MED;1462-3994;1736;5.152;6.703;1.000;13;5.6;0.00506;2.155;
EXTREMOPHILES;1431-0651;2491;2.306;2.578;0.478;92;6.9;0.00436;0.712;
FASEB J;0892-6638;41076;5.043;5.639;1.298;453;9.0;0.06920;1.973;
FEBS J;1742-464X;14865;4.001;4.068;0.766;380;4.9;0.04824;1.341;
FEBS LETT;0014-5793;51066;3.169;3.372;0.844;634;>10.0;0.06169;1.208;
FEBS OPEN BIO;2211-5463;254;1.515;1.537;0.400;120;1.7;0.00109;0.511;
FISH PHYSIOL BIOCHEM;0920-1742;2692;1.622;1.791;0.307;163;8.9;0.00448;0.477;
FLY;1933-6934;604;3.325;2.054;0.207;29;3.3;0.00363;0.956;
FOLIA HISTOCHEM CYTO;0239-8508;997;1.364;1.081;0.211;38;6.0;0.00173;0.240;
FOOD FUNCT;2042-6496;1485;2.791;3.046;0.456;349;2.4;0.00457;0.664;
FREE RADICAL BIO MED;0891-5849;33783;5.736;5.855;1.147;373;8.4;0.04814;1.500;
FREE RADICAL RES;1071-5762;6179;2.976;2.909;0.872;141;9.4;0.00703;0.710;
FRONT BIOSCI-LANDMRK;1093-9946;9124;3.523;3.200;0.705;105;6.9;0.01486;1.014;
GEN PHYSIOL BIOPHYS;0231-5882;809;1.173;1.269;0.200;45;5.9;0.00165;0.325;
GENE THER;0969-7128;7694;3.104;3.107;0.613;124;8.9;0.01069;0.926;
GENES GENET SYST;1341-7568;754;0.930;1.294;1.176;17;8.1;0.00128;0.417;
GENES GENOM;1976-9571;278;0.596;0.645;0.105;86;3.5;0.00094;0.152;
GENET MOL BIOL;1415-4757;1660;1.202;1.107;0.119;84;7.0;0.00276;0.295;
GENET MOL RES;1676-5680;2613;0.775;0.972;0.098;1002;3.6;0.00686;0.214;
GENOME RES;1088-9051;33977;14.630;15.567;3.198;187;6.1;0.13839;8.372;
GLYCOBIOLOGY;0959-6658;6546;3.147;3.212;1.009;106;8.4;0.01140;1.071;
GLYCOCONJUGATE J;0282-0080;2213;2.520;2.009;0.413;63;>10.0;0.00322;0.625;
HEMOGLOBIN;0363-0269;844;0.787;1.061;0.175;97;6.1;0.00158;0.266;
HUM MOL GENET;0964-6906;37440;6.393;6.850;1.596;581;6.8;0.09691;2.648;
INDIAN J BIOCHEM BIO;0301-1208;962;0.871;0.997;0.043;69;10.0;0.00108;0.214;
INNATE IMMUN-LONDON;1753-4259;911;3.271;2.992;0.667;81;2.7;0.00367;0.905;
INSECT BIOCHEM MOLEC;0965-1748;6647;3.450;3.650;0.973;111;9.2;0.00782;0.938;
INSECT MOL BIOL;0962-1075;3220;2.589;2.875;0.714;70;8.3;0.00468;0.802;
INT J BIOCHEM CELL B;1357-2725;14177;4.046;4.371;0.671;301;6.8;0.02927;1.352;
INT J BIOL MACROMOL;0141-8130;8490;2.858;3.016;0.443;524;4.5;0.01436;0.565;
INT J BIOL SCI;1449-2288;2611;4.509;4.195;0.554;112;3.4;0.00935;1.173;
INT J GENOMICS;2314-436X;56;0.953;0.953;0.311;45;;0.00014;0.198;
INT J MOL SCI;1422-0067;12460;2.862;2.983;0.398;1393;2.6;0.04152;0.713;
INT J PEPT RES THER;1573-3149;384;0.905;0.919;0.161;62;6.0;0.00067;0.215;
INT REV CEL MOL BIO;1937-6448;1204;3.419;4.172;1.102;49;3.8;0.00518;1.438;
IUBMB LIFE;1521-6543;4018;3.143;3.372;0.333;84;5.9;0.01029;1.091;
J AM SOC MASS SPECTR;1044-0305;8419;2.945;2.959;0.730;233;6.9;0.01661;0.875;
J BIOCHEM;0021-924X;8158;2.582;2.381;0.387;75;>10.0;0.01032;0.856;
J BIOCHEM MOL TOXIC;1095-6670;1283;1.925;1.760;0.304;69;7.5;0.00189;0.432;
J BIOL CHEM;0021-9258;396051;4.573;4.693;0.892;3007;>10.0;0.54184;1.740;
J BIOL INORG CHEM;0949-8257;4122;2.538;2.894;0.775;111;7.1;0.00677;0.792;
J BIOMOL NMR;0925-2738;5481;3.141;3.435;0.637;80;>10.0;0.01092;1.404;
J BIOMOL STRUCT DYN;0739-1102;2095;2.919;2.421;0.936;156;4.6;0.00362;0.533;
J CARBOHYD CHEM;0732-8303;765;1.417;1.011;0.206;34;>10.0;0.00071;0.250;
J CELL BIOCHEM;0730-2312;15632;3.263;3.173;1.009;227;7.3;0.02730;0.895;
J CHEM ECOL;0098-0331;9119;2.747;2.780;0.366;123;>10.0;0.01026;0.857;
J CHEM NEUROANAT;0891-0618;1951;1.500;2.306;0.453;53;>10.0;0.00280;0.665;
J COMPUT AID MOL DES;0920-654X;3477;2.990;2.968;1.062;96;8.0;0.00504;0.723;
J ENZYM INHIB MED CH;1475-6366;2111;2.332;1.752;0.692;120;5.1;0.00412;0.388;
J EVOL BIOCHEM PHYS+;0022-0930;278;0.371;0.357;0.053;57;6.8;0.00034;0.066;
J FOOD BIOCHEM;0145-8884;1155;0.741;0.927;0.147;68;8.1;0.00168;0.220;
J GENET GENOMICS;1673-8527;1324;3.585;2.849;0.745;47;4.0;0.00467;0.855;
J HUAZHONG U SCI-MED;1672-0733;953;0.834;0.749;0.058;156;4.8;0.00211;0.168;
J INORG BIOCHEM;0162-0134;10837;3.444;3.447;0.770;209;8.2;0.01220;0.720;
J INTEGR PLANT BIOL;1672-9072;2905;3.335;3.353;1.085;94;5.1;0.00681;0.919;
J INTERF CYTOK RES;1079-9907;3085;2.000;3.153;0.562;105;7.0;0.00666;0.973;
J LIPID RES;0022-2275;21622;4.421;5.175;1.104;241;8.5;0.04284;1.816;
J LIPOSOME RES;0898-2104;753;1.822;1.786;0.405;37;6.5;0.00120;0.404;
J MED BIOCHEM;1452-8258;166;1.045;0.668;0.370;46;2.3;0.00023;0.069;
J MEMBRANE BIOL;0022-2631;4646;2.457;2.407;1.447;114;>10.0;0.00515;0.726;
J MOL BIOL;0022-2836;66318;4.333;3.702;1.483;296;>10.0;0.08465;1.660;
J MOL CATAL B-ENZYM;1381-1177;5533;2.128;2.622;0.433;252;5.6;0.00938;0.526;
J MOL EVOL;0022-2844;8143;1.680;1.945;0.367;49;>10.0;0.00445;0.735;
J MOL GRAPH MODEL;1093-3263;5429;1.722;1.948;0.444;126;>10.0;0.00394;0.475;
J MOL MODEL;1610-2940;4463;1.736;1.711;0.189;461;3.8;0.00979;0.374;
J MOL NEUROSCI;0895-8696;3920;2.343;2.332;0.615;239;4.5;0.00917;0.628;
J MOL RECOGNIT;0952-3499;2190;2.151;2.356;0.551;69;8.0;0.00399;0.694;
J NEUROCHEM;0022-3042;36434;4.281;3.974;1.003;310;9.6;0.04523;1.197;
J NUTR BIOCHEM;0955-2863;6900;3.794;3.989;0.953;150;5.5;0.01340;0.957;
J PEPT SCI;1075-2617;1998;1.546;1.705;0.444;108;6.3;0.00368;0.449;
J PHOTOCH PHOTOBIO B;1011-1344;6204;2.960;3.133;0.476;271;8.7;0.00803;0.687;
J PHYSIOL BIOCHEM;1138-7548;887;1.969;2.039;0.305;95;3.7;0.00241;0.493;
J PLANT BIOCHEM BIOT;0971-7811;345;1.094;0.874;0.143;49;4.0;0.00084;0.213;
J RECEPT SIG TRANSD;1079-9893;813;2.277;1.883;0.384;73;5.1;0.00156;0.425;
J STEROID BIOCHEM;0960-0760;8602;3.628;3.512;0.755;212;9.1;0.01269;0.977;
J STRUCT BIOL;1047-8477;8434;3.231;3.279;0.644;160;7.6;0.02173;1.427;
J TRACE ELEM MED BIO;0946-672X;1574;2.371;2.323;0.682;85;7.2;0.00224;0.542;
J ZHEJIANG UNIV-SC B;1673-1581;1637;1.278;1.390;0.270;115;5.6;0.00329;0.332;
LIPIDS;0024-4201;6573;1.854;2.170;0.325;114;>10.0;0.00563;0.609;
LIPIDS HEALTH DIS;1476-511X;2480;2.219;2.430;0.397;194;3.5;0.00756;0.581;
LUMINESCENCE;1522-7235;1212;1.518;1.509;0.183;180;4.5;0.00197;0.267;
MACROMOL BIOSCI;1616-5187;5749;3.851;4.012;0.596;166;5.3;0.01147;0.924;
MAGNESIUM RES;0953-1424;537;0.766;1.569;0.143;14;7.7;0.00079;0.406;
MAMM GENOME;0938-8990;2914;3.068;2.423;0.870;54;>10.0;0.00452;0.918;
MATRIX BIOL;0945-053X;3721;5.074;4.171;1.103;116;8.9;0.00524;1.226;
MEDCHEMCOMM;2040-2503;1725;2.495;2.612;0.586;227;2.5;0.00648;0.670;
METALLOMICS;1756-5901;2373;3.585;3.980;0.856;209;2.9;0.00878;1.005;
METHOD ENZYMOL;0076-6879;24777;2.088;2.272;0.322;208;>10.0;0.02533;0.961;
METHODS;1046-2023;14080;3.645;3.851;1.516;246;>10.0;0.01945;1.516;
MOL ASPECTS MED;0098-2997;4050;10.238;11.000;1.118;17;5.5;0.01122;3.499;
MOL BIOCHEM PARASIT;0166-6851;6343;1.787;2.239;0.309;81;>10.0;0.00673;0.761;
MOL BIOL EVOL;0737-4038;37529;9.105;11.667;1.749;275;7.1;0.09436;4.441;
MOL BIOL REP;0301-4851;7654;2.024;1.908;0.346;873;2.8;0.02256;0.396;
MOL BIOL+;0026-8933;954;0.718;0.662;0.114;105;7.6;0.00134;0.154;
MOL BIOSYST;1742-206X;5615;3.210;3.191;0.652;310;3.6;0.02254;0.995;
MOL BIOTECHNOL;1073-6085;2728;1.876;1.996;0.381;113;7.1;0.00444;0.503;
MOL CANCER;1476-4598;6350;4.257;5.220;0.758;256;4.5;0.01969;1.443;
MOL CARCINOGEN;0899-1987;4318;4.808;4.180;1.000;118;5.4;0.00930;1.088;
MOL CELL;1097-2765;53786;14.018;15.052;3.625;304;6.8;0.20063;8.463;
MOL CELL BIOL;0270-7306;64143;4.777;5.228;1.173;346;>10.0;0.08339;2.402;
MOL CELL PROBE;0890-8508;1746;1.852;1.862;0.622;45;9.7;0.00199;0.507;
MOL CELLS;1016-8478;3014;2.090;2.274;0.319;119;5.2;0.00774;0.648;
MOL ECOL;0962-1083;32977;6.494;6.330;1.325;419;7.2;0.06501;2.075;
MOL ECOL RESOUR;1755-098X;6378;3.712;4.990;1.630;127;4.5;0.02558;1.647;
MOL GENET GENOMICS;1617-4615;3310;2.728;2.907;0.444;108;7.8;0.00503;0.818;
MOL GENET METAB;1096-7192;5729;2.625;2.731;0.734;143;5.6;0.01412;0.845;
MOL GENET MICROBIOL+;0891-4168;114;0.462;0.379;0.000;35;6.8;0.00020;0.089;
MOL IMMUNOL;0161-5890;8795;2.973;2.749;0.924;171;6.5;0.01830;0.862;
MOL MED;1076-1551;4481;4.508;4.844;0.769;52;6.0;0.01138;1.576;
MOL MEMBR BIOL;0968-7688;1219;1.694;2.539;0.565;23;8.1;0.00207;0.780;
MOL MICROBIOL;0950-382X;36696;4.419;4.764;0.961;356;9.8;0.05923;1.883;
MOL PHYLOGENET EVOL;1055-7903;15916;3.916;4.064;0.958;308;6.8;0.03399;1.322;
MOL PLANT;1674-2052;4214;6.337;6.534;2.260;104;3.3;0.01772;2.040;
MOL PLANT MICROBE IN;0894-0282;9794;3.944;4.414;0.788;118;8.2;0.01424;1.241;
MOL PSYCHIATR;1359-4184;14510;14.496;13.834;3.152;151;5.4;0.04317;5.007;
MOL REPROD DEV;1040-452X;5362;2.527;2.606;0.457;92;>10.0;0.00608;0.825;
MOL SYST BIOL;1744-4292;7644;10.872;12.019;1.438;48;4.6;0.03887;5.857;
MOL VIS;1090-0535;5811;1.986;2.154;0.234;141;5.2;0.01428;0.569;
NAT CHEM BIOL;1552-4450;14121;12.996;14.273;3.545;145;5.0;0.06313;6.433;
NAT MED;1078-8956;62572;28.223;27.504;5.935;155;7.9;0.16290;12.480;
NAT PROD REP;0265-0568;8047;10.107;10.545;2.402;82;6.7;0.01673;3.173;
NAT STRUCT MOL BIOL;1545-9993;26673;13.309;12.479;3.424;132;6.5;0.11474;7.480;
NEUROCHEM INT;0197-0186;7321;3.092;2.971;0.441;161;6.3;0.01426;0.774;
NEUROCHEM RES;0364-3190;7527;2.593;2.333;0.500;252;6.8;0.01211;0.568;
NEUROSIGNALS;1424-862X;686;2.000;2.738;0.200;5;6.4;0.00139;0.820;
NITRIC OXIDE-BIOL CH;1089-8603;2794;3.521;3.447;0.611;90;6.3;0.00509;0.868;
NUCLEIC ACID THER;2159-3337;407;2.929;2.869;0.829;41;2.3;0.00169;0.816;
NUCLEIC ACIDS RES;0305-1048;136883;9.112;8.867;2.326;1532;7.4;0.34347;3.492;
NUCLEOS NUCLEOT NUCL;1525-7770;1545;1.018;0.934;0.125;72;9.4;0.00143;0.221;
ONCOGENE;0950-9232;64071;8.459;7.632;1.963;572;8.4;0.10362;2.627;
OPEN BIOL;2046-2441;833;5.784;5.835;0.846;65;2.0;0.00554;2.625;
ORGANOGENESIS;1547-6278;676;2.800;3.347;0.931;29;4.5;0.00238;1.042;
PEPTIDES;0196-9781;9685;2.618;2.429;0.625;256;7.5;0.01461;0.592;
PESTIC BIOCHEM PHYS;0048-3575;3301;2.014;2.387;0.194;98;7.7;0.00463;0.545;
PHOTOCH PHOTOBIO SCI;1474-905X;5185;2.267;2.618;0.492;183;5.6;0.01153;0.699;
PHOTOCHEM PHOTOBIOL;0031-8655;9896;2.266;2.363;0.473;182;>10.0;0.00884;0.603;
PHYTOCHEM LETT;1874-3900;952;1.450;1.549;0.313;211;2.8;0.00285;0.342;
PHYTOCHEMISTRY;0031-9422;29581;2.547;3.278;0.466;236;>10.0;0.01770;0.852;
PLANT CELL;1040-4651;46901;9.338;10.529;1.711;311;8.6;0.08080;3.474;
PLANT MOL BIOL;0167-4412;14156;4.257;4.573;0.752;141;>10.0;0.01369;1.232;
PLANT SCI;0168-9452;11274;3.607;3.904;0.535;202;9.7;0.01462;1.043;
PLOS BIOL;1545-7885;25729;9.343;11.896;1.872;187;6.4;0.09292;6.212;
PREP BIOCHEM BIOTECH;1082-6068;414;0.911;0.834;0.375;64;6.5;0.00057;0.175;
PRION;1933-6896;682;2.241;2.139;0.464;56;3.2;0.00251;0.648;
PROCESS BIOCHEM;1359-5113;13453;2.516;2.909;0.355;301;8.8;0.01519;0.657;
PROG BIOCHEM BIOPHYS;1000-3282;351;0.324;0.219;0.110;136;5.6;0.00044;0.036;
PROG BIOPHYS MOL BIO;0079-6107;3483;2.274;3.167;0.912;68;8.6;0.00455;0.998;
PROG LIPID RES;0163-7827;4825;10.015;12.204;2.500;22;8.1;0.00938;3.886;
PROG MOL BIOL TRANSL;1877-1173;1373;3.488;3.121;0.557;79;2.8;0.00813;1.219;
PROSTAG LEUKOTR ESS;0952-3278;3396;2.346;2.895;0.508;63;8.6;0.00520;0.819;
PROSTAG OTH LIPID M;1098-8823;2012;2.377;2.684;0.050;20;>10.0;0.00320;0.797;
PROTEIN ENG DES SEL;1741-0126;5263;2.537;2.604;0.554;56;>10.0;0.00614;0.837;
PROTEIN EXPRES PURIF;1046-5928;5309;1.695;1.617;0.299;174;8.5;0.00705;0.447;
PROTEIN J;1572-3887;621;0.912;1.061;0.183;60;4.9;0.00167;0.290;
PROTEIN PEPTIDE LETT;0929-8665;1683;1.068;1.124;0.392;148;5.1;0.00415;0.294;
PROTEIN SCI;0961-8368;13904;2.854;2.877;0.675;163;>10.0;0.01964;1.189;
PROTEINS;0887-3585;16760;2.627;3.110;0.806;319;8.8;0.02542;1.105;
PROTEOMICS;1615-9853;15886;3.807;3.823;0.793;261;6.3;0.03322;1.088;
PTERIDINES;0933-4807;74;0.326;0.298;0.100;10;;0.00009;0.052;
REDOX REP;1351-0002;1097;1.522;1.925;0.594;32;9.6;0.00120;0.434;
REV PHYSIOL BIOCH P;0303-4240;779;6.273;5.867;;;>10.0;0.00048;2.026;
RNA;1355-8382;12544;4.936;4.900;0.898;177;6.7;0.03780;2.352;
RNA BIOL;1547-6286;3281;4.974;5.237;0.683;126;3.0;0.01903;2.224;
RUSS J BIOORG CHEM+;1068-1620;748;0.535;0.536;0.080;100;7.9;0.00096;0.115;
SCI SIGNAL;1945-0877;7211;6.279;7.137;1.359;170;3.9;0.04714;3.309;
STAT APPL GENET MOL;2194-6302;1415;1.127;1.537;0.100;40;9.7;0.00349;0.894;
STEROIDS;0039-128X;5282;2.639;2.696;0.576;170;6.5;0.00934;0.670;
