JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
CHEM PROCESS ENG-INZ;0208-6425;221;0.653;0.485;0.079;38;5.4;0.00048;0.125;
CHEM TECH FUELS OIL+;0009-3092;209;0.133;0.123;0.055;73;>10.0;0.00019;0.032;
CHEM-ING-TECH;0009-286X;1451;0.658;0.634;0.102;187;7.6;0.00230;0.145;
CHINA PET PROCESS PE;1008-6234;65;0.277;0.209;0.050;60;;0.00017;0.042;
CHINESE J CATAL;0253-9837;2532;1.964;1.440;0.387;238;3.4;0.00450;0.225;
CHINESE J CHEM ENG;1004-9541;1902;1.098;1.342;0.161;193;5.4;0.00342;0.273;
COLOR RES APPL;0361-2317;1282;1.000;1.137;0.222;63;>10.0;0.00109;0.305;
COLOR TECHNOL;1472-3581;852;1.262;1.251;0.150;60;7.0;0.00103;0.229;
COMBUST EXPLO SHOCK+;0010-5082;1288;0.572;0.670;0.126;103;>10.0;0.00111;0.152;
COMBUST FLAME;0010-2180;12685;3.082;3.557;0.679;274;9.2;0.01833;0.947;
COMBUST SCI TECHNOL;0010-2202;3135;0.991;1.068;0.119;134;>10.0;0.00286;0.373;
COMBUST THEOR MODEL;1364-7830;858;1.280;1.429;0.310;29;7.6;0.00192;0.551;
COMPUT CHEM ENG;0098-1354;9299;2.784;2.873;0.694;255;9.4;0.01200;0.689;
DESALIN WATER TREAT;1944-3994;3187;1.173;1.017;0.109;852;2.8;0.00927;0.193;
DESALINATION;0011-9164;24618;3.756;3.778;0.495;418;5.9;0.04146;0.796;
DRY TECHNOL;0737-3937;4576;1.518;1.723;0.281;196;7.9;0.00386;0.271;
DYES PIGMENTS;0143-7208;9981;3.966;3.700;1.042;360;5.8;0.01277;0.629;
ENERG ENVIRON SCI;1754-5692;36159;20.523;19.198;6.110;363;2.9;0.12645;4.632;
ENERG FUEL;0887-0624;25310;2.790;3.282;0.460;846;5.8;0.04614;0.738;
ENERG SOURCE PART A;1556-7036;1015;0.386;0.576;0.105;294;5.1;0.00220;0.127;
ENVIRON PROG SUSTAIN;1944-7442;774;1.403;1.745;0.170;176;3.3;0.00266;0.396;
FILTR SEPARAT;0015-1882;263;0.105;0.172;0.000;56;>10.0;0.00022;0.059;
FLUID PHASE EQUILIBR;0378-3812;11657;2.200;2.334;0.603;506;8.3;0.01513;0.551;
FOOD BIOPROD PROCESS;0960-3085;1710;2.474;2.824;0.553;47;4.6;0.00394;0.683;
FUEL;0016-2361;28939;3.520;4.091;0.815;1183;6.4;0.04512;0.922;
FUEL PROCESS TECHNOL;0378-3820;11150;3.352;4.031;0.680;375;5.7;0.02040;0.911;
GREEN PROCESS SYNTH;2191-9542;99;1.125;;0.225;40;;0.00036;;
HEM IND;0367-598X;198;0.364;0.319;0.049;82;3.7;0.00039;0.058;
IND ENG CHEM RES;0888-5885;50551;2.587;2.740;0.424;2073;6.8;0.07803;0.618;
INDIAN J CHEM TECHN;0971-457X;609;0.513;0.723;0.077;39;7.2;0.00064;0.129;
INT J ADHES ADHES;0143-7496;3271;1.773;2.418;0.390;177;7.4;0.00470;0.531;
INT J CHEM REACT ENG;2194-5748;673;0.592;0.678;0.136;59;5.4;0.00141;0.163;
INT J MINER PROCESS;0301-7516;3218;1.310;1.692;0.256;90;>10.0;0.00383;0.531;
INT J OIL GAS COAL T;1753-3309;97;0.508;0.603;0.069;58;;0.00026;0.136;
INT POLYM PROC;0930-777X;544;0.512;0.598;0.083;72;9.3;0.00058;0.132;
IRAN J CHEM CHEM ENG;1021-9986;256;0.325;0.519;0.022;46;5.1;0.00043;0.091;
J ADHES SCI TECHNOL;0169-4243;2590;0.961;1.160;0.246;167;7.9;0.00392;0.293;
J ADHESION;0021-8464;1438;1.417;1.455;0.246;57;>10.0;0.00176;0.387;
J AEROSOL SCI;0021-8502;5894;2.236;2.719;0.432;111;>10.0;0.00658;0.875;
J CAN PETROL TECHNOL;0021-9487;1256;0.744;0.947;0.120;25;>10.0;0.00250;0.493;
J CATAL;0021-9517;39917;6.921;7.310;1.410;315;>10.0;0.03550;1.622;
J CHEM ENG DATA;0021-9568;17706;2.037;2.165;0.479;516;7.5;0.02401;0.466;
J CHEM ENG JPN;0021-9592;2056;0.644;0.558;0.085;130;>10.0;0.00126;0.119;
J CHEM TECHNOL BIOT;0268-2575;8116;2.349;2.616;0.597;233;7.9;0.01133;0.614;
J CO2 UTIL;2212-9820;120;3.091;3.091;0.462;39;1.4;0.00028;0.535;
J ENERG MATER;0737-0652;378;1.295;1.347;0.162;37;7.7;0.00063;0.329;
J ENERGY CHEM;2095-4956;314;2.352;2.352;0.241;108;1.5;0.00081;0.420;
J FOOD ENG;0260-8774;18581;2.771;3.216;0.727;374;7.3;0.02401;0.720;
J FOOD PROCESS ENG;0145-8876;976;0.675;0.984;0.154;65;6.8;0.00168;0.242;
J IND ENG CHEM;1226-086X;4917;3.512;3.021;0.708;610;2.8;0.00894;0.492;
J LOSS PREVENT PROC;0950-4230;2365;1.406;1.626;0.217;157;6.6;0.00421;0.398;
J MEMBRANE SCI;0376-7388;45130;5.056;5.323;1.215;825;6.9;0.06035;1.115;
J MICROENCAPSUL;0265-2048;2235;1.585;1.749;0.208;96;9.3;0.00234;0.364;
J MICROWAVE POWER EE;0832-7823;319;0.500;;0.050;20;>10.0;0.00022;;
J NAT GAS CHEM;1003-9953;1302;2.398;2.142;;0;4.8;0.00282;0.443;
J NAT GAS SCI ENG;1875-5100;577;2.157;2.048;0.377;284;2.3;0.00159;0.438;
J PROCESS CONTR;0959-1524;4287;2.653;2.993;0.315;203;5.7;0.00987;0.838;
J SUPERCRIT FLUID;0896-8446;7086;2.371;2.919;0.511;278;5.9;0.01101;0.577;
J SURFACTANTS DETERG;1097-3958;1276;1.685;1.719;0.244;135;5.6;0.00162;0.271;
J TAIWAN INST CHEM E;1876-1070;1834;3.000;2.655;0.474;380;2.8;0.00480;0.489;
KAGAKU KOGAKU RONBUN;0386-216X;364;0.438;0.296;0.053;75;9.7;0.00027;0.039;
KGK-KAUT GUMMI KUNST;0948-3276;472;0.212;0.259;0.014;70;>10.0;0.00021;0.046;
KONA POWDER PART J;0288-4534;309;1.182;1.564;0.421;19;7.0;0.00048;0.387;
KOREAN J CHEM ENG;0256-1115;3097;1.166;1.131;0.217;300;5.1;0.00555;0.232;
LAT AM APPL RES;0327-0793;258;0.148;0.219;0.000;28;9.3;0.00027;0.059;
LUBR SCI;0954-0075;420;1.031;0.936;0.486;35;7.5;0.00066;0.267;
MACED J CHEM CHEM EN;1857-5552;86;0.533;0.650;0.053;19;;0.00031;0.191;
MACROMOL REACT ENG;1862-832X;569;1.642;1.803;0.557;61;4.2;0.00147;0.403;
MEMBR WATER TREAT;2005-8624;42;0.625;0.506;0.050;20;;0.00022;0.168;
MINER ENG;0892-6875;5019;1.597;1.751;0.256;242;8.4;0.00720;0.454;
OIL GAS SCI TECHNOL;1294-4475;1147;0.750;1.477;0.150;80;7.6;0.00233;0.477;
P COMBUST INST;1540-7489;7564;2.262;2.622;;0;7.6;0.01905;1.021;
PARTICUL SCI TECHNOL;0272-6351;367;0.523;0.515;0.115;78;7.5;0.00050;0.122;
PARTICUOLOGY;1674-2001;1255;2.110;2.312;0.237;118;3.8;0.00427;0.583;
PERIOD POLYTECH-CHEM;0324-5853;34;0.296;0.250;0.029;35;;0.00004;0.043;
PETROL CHEM+;0965-5441;421;0.420;0.479;0.030;99;5.5;0.00087;0.121;
PETROL SCI TECHNOL;1091-6466;1007;0.307;0.407;0.082;352;6.1;0.00172;0.095;
PIGM RESIN TECHNOL;0369-9420;339;0.788;0.711;0.125;48;7.3;0.00034;0.111;
PLASMA CHEM PLASMA P;0272-4324;1829;2.056;1.887;0.455;88;7.7;0.00238;0.460;
POL J CHEM TECHNOL;1509-8117;197;0.536;0.455;0.100;80;3.7;0.00039;0.085;
POLYM ENG SCI;0032-3888;9306;1.520;1.608;0.305;315;>10.0;0.00795;0.346;
POWDER TECHNOL;0032-5910;13626;2.349;2.437;0.605;638;6.2;0.02185;0.538;
PROCESS BIOCHEM;1359-5113;13453;2.516;2.909;0.355;301;8.8;0.01519;0.657;
PROCESS SAF ENVIRON;0957-5820;1586;2.551;2.441;0.602;98;6.9;0.00272;0.656;
PROCESS SAF PROG;1066-8527;394;0.464;0.481;0.175;57;7.5;0.00067;0.134;
PROG ENERG COMBUST;0360-1285;6443;19.220;21.043;2.059;17;7.3;0.01177;6.389;
PROPELL EXPLOS PYROT;0721-3115;1769;1.604;1.632;0.233;116;8.0;0.00222;0.352;
PRZEM CHEM;0033-2496;758;0.399;0.332;0.130;368;3.3;0.00076;0.032;
REACT FUNCT POLYM;1381-5148;5146;2.515;2.535;0.574;148;7.3;0.00607;0.515;
REV CHEM ENG;0167-8299;337;2.414;2.538;0.222;27;9.0;0.00060;0.729;
REV CHIM-BUCHAREST;0034-7752;1269;0.810;0.621;0.265;306;3.9;0.00131;0.062;
REV MEX ING QUIM;1665-2738;236;0.569;0.682;0.333;75;3.6;0.00023;0.067;
SCI TECHNOL ENERG MA;1347-9466;111;0.393;0.420;0.444;27;4.6;0.00017;0.076;
SEP PURIF REV;1542-2119;352;2.824;4.179;3.600;10;5.5;0.00059;0.959;
SEP PURIF TECHNOL;1383-5866;14804;3.091;3.494;0.437;565;5.9;0.02714;0.818;
SEP SCI TECHNOL;0149-6395;5093;1.171;1.294;0.148;330;8.6;0.00663;0.299;
SOLID FUEL CHEM+;0361-5219;181;0.198;0.196;0.052;58;6.9;0.00013;0.024;
SOLVENT EXTR RES DEV;1341-7215;189;1.000;0.875;0.385;26;5.5;0.00025;0.152;
SURF COAT INT;1754-0925;112;0.118;0.088;;;>10.0;0.00001;0.013;
TENSIDE SURFACT DET;0932-3414;405;0.739;0.648;0.067;60;9.6;0.00041;0.097;
THEOR FOUND CHEM EN+;0040-5795;621;0.576;0.488;0.286;112;5.8;0.00059;0.063;
TRANSPORT POROUS MED;0169-3913;3447;1.431;1.732;0.361;144;6.3;0.00965;0.650;
TRIBOL LETT;1023-8883;3685;1.739;2.088;0.457;197;6.1;0.00876;0.666;
TURK J CHEM;1300-0527;1322;1.117;1.152;0.226;106;8.2;0.00130;0.198;

