JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
SORT-STAT OPER RES T;1696-2281;85;1.333;1.133;0.062;16;;0.00049;0.516;
STUD INFORM CONTROL;1220-1766;188;0.913;0.631;0.211;38;3.1;0.00036;0.107;
SYST CONTROL LETT;0167-6911;5268;2.059;2.448;0.147;156;9.5;0.01305;1.207;
SYSTEMS ENG;1098-1241;328;0.700;0.793;0.121;33;7.4;0.00057;0.241;
TECHNOVATION;0166-4972;2986;2.526;3.636;0.567;67;7.8;0.00391;0.880;
TOP;1134-5764;314;0.831;0.943;0.053;57;7.1;0.00120;0.540;
TRANSPORT RES B-METH;0191-2615;6014;2.952;4.116;0.408;125;9.4;0.01092;1.421;
TRANSPORT RES E-LOG;1366-5545;2947;2.676;3.513;0.404;141;5.6;0.00843;1.220;
TRANSPORT SCI;0041-1655;3586;3.043;3.753;0.805;41;>10.0;0.00560;2.026;

