JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
J CHIN INST ENG;0253-3839;388;0.241;0.261;0.049;102;7.8;0.00051;0.064;
J ELASTICITY;0374-3535;1746;1.348;1.232;0.556;45;>10.0;0.00243;0.656;
J ENG DESIGN;0954-4828;595;1.036;1.401;0.059;17;6.8;0.00124;0.407;
J ENG EDUC;1069-4730;1172;2.059;2.722;0.042;24;8.5;0.00226;1.071;
J ENG MATH;0022-0833;1313;0.803;1.051;0.108;74;10.0;0.00287;0.482;
J ENG RES-KUWAIT;2307-1877;6;0.128;0.128;0.025;40;;0.00002;0.040;
J ENG TECHNOL;****-****;64;1.000;0.911;;;;0.00016;0.225;
J FAC ENG ARCHIT GAZ;1300-1884;174;0.286;0.290;0.011;88;3.9;0.00039;0.053;
J FIRE SCI;0734-9041;579;0.857;1.126;0.188;32;8.7;0.00083;0.347;
J FRANKLIN I;0016-0032;3029;2.395;2.422;0.458;310;4.2;0.00653;0.542;
J IND MANAG OPTIM;1547-5816;468;0.843;0.827;0.356;90;5.2;0.00138;0.290;
J MAR SCI TECH-TAIW;1023-2796;412;0.379;0.580;0.041;74;4.8;0.00115;0.162;
J PROF ISS ENG ED PR;1052-3928;229;0.275;0.500;0.000;36;7.5;0.00042;0.161;
J SCI IND RES INDIA;0022-4456;1317;0.500;0.675;0.008;126;7.6;0.00153;0.147;
J ZHEJIANG UNIV-SC A;1673-565X;907;0.882;0.799;0.376;85;5.6;0.00188;0.195;
MATH PROBL ENG;1024-123X;3190;0.762;0.798;0.145;2041;2.2;0.00721;0.143;
MEAS SCI TECHNOL;0957-0233;9613;1.433;1.534;0.302;447;7.9;0.01783;0.499;
MEAS TECH+;0543-1972;535;0.282;0.234;0.065;247;5.8;0.00056;0.032;
MEASUREMENT;0263-2241;3037;1.484;1.424;0.415;547;3.3;0.00773;0.341;
NOISE CONTROL ENG J;0736-2501;301;0.227;0.380;0.064;47;8.2;0.00071;0.146;
OPTIM ENG;1389-4420;508;1.233;1.236;0.071;42;7.7;0.00161;0.646;
P I MECH ENG O-J RIS;1748-006X;243;0.860;0.907;0.200;55;3.5;0.00097;0.298;
PRECIS ENG;0141-6359;1922;1.517;1.856;0.345;110;7.2;0.00411;0.622;
QUAL RELIAB ENG INT;0748-8017;1180;1.191;1.217;0.108;111;7.1;0.00294;0.447;
RES ENG DES;0934-9839;615;1.233;1.906;0.158;19;>10.0;0.00082;0.537;
REV INT METOD NUMER;0213-1315;59;0.423;0.327;0.094;32;;0.00016;0.094;
RUSS J NUMER ANAL M;0927-6467;140;0.492;0.433;0.100;30;5.5;0.00062;0.228;
SADHANA-ACAD P ENG S;0256-2499;658;0.476;0.648;0.022;89;>10.0;0.00089;0.191;
SAMPE J;0091-1062;178;0.303;0.400;0.200;15;>10.0;0.00016;0.136;
SCI CHINA TECHNOL SC;1674-7321;1843;1.192;1.038;0.199;286;2.9;0.00721;0.266;
SCI ENG ETHICS;1353-3452;628;0.963;1.104;0.705;61;5.4;0.00153;0.360;
SCI IRAN;1026-3098;1073;1.025;0.952;0.094;235;3.1;0.00364;0.235;
STRUCT HEALTH MONIT;1475-9217;1267;2.663;3.077;0.208;48;5.4;0.00354;1.014;
STRUCT MULTIDISCIP O;1615-147X;3379;1.974;2.321;0.219;151;6.2;0.00987;0.890;
TEH VJESN;1330-3651;287;0.579;0.528;0.049;184;2.6;0.00052;0.066;

