JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
J TROP FOR SCI;0128-1283;466;0.586;0.665;0.066;61;7.8;0.00072;0.170;
J VEG SCI;1100-9233;6898;3.709;3.752;0.881;134;>10.0;0.00997;1.206;
J WOOD SCI;1435-0211;1514;0.944;1.178;0.190;58;9.1;0.00145;0.249;
MADERA BOSQUES;1405-0471;109;0.290;0.432;0.000;35;7.4;0.00014;0.098;
NAT AREA J;0885-8608;613;0.659;0.903;0.109;46;>10.0;0.00091;0.294;
NEW FOREST;0169-4286;1177;1.829;1.538;0.411;56;8.3;0.00181;0.409;
NORTH J APPL FOR;0742-6348;440;0.520;0.674;;;>10.0;0.00045;0.220;
NZ J FORESTRY SCI;0048-0134;439;0.529;;0.107;28;>10.0;0.00028;;
PLANT ECOL;1385-0237;5116;1.463;1.900;0.268;127;8.8;0.00803;0.606;
REV ARVORE;0100-6762;1133;0.358;0.555;0.030;100;8.3;0.00159;0.162;
REV CHAPINGO SER CIE;0186-3231;56;0.111;0.174;0.000;34;;0.00007;0.024;
SCAND J FOREST RES;0282-7581;1933;1.537;1.736;0.282;103;>10.0;0.00261;0.467;
SCI FOR;1413-9324;324;0.366;0.518;0.017;60;7.0;0.00080;0.185;
SILVA FENN;0037-5330;1467;1.177;1.728;0.057;35;8.3;0.00213;0.486;
SILVAE GENET;0037-5349;968;0.278;0.514;0.000;17;>10.0;0.00035;0.129;
SMALL-SCALE FOR;1873-7617;209;0.971;;0.091;33;4.1;0.00074;;
SOUTH FORESTS;2070-2620;142;0.904;0.718;0.276;29;3.6;0.00031;0.137;
SOUTH J APPL FOR;0148-4419;403;0.397;0.632;;;>10.0;0.00043;0.200;
SUMAR LIST;0373-1332;94;0.229;0.231;0.037;27;;0.00016;0.045;
SYLWAN;0039-7660;372;0.322;0.321;0.080;100;7.8;0.00018;0.025;
TREE GENET GENOMES;1614-2942;1732;2.451;2.563;0.279;136;3.9;0.00475;0.606;
TREE PHYSIOL;0829-318X;8740;3.655;3.787;0.694;111;9.3;0.01097;1.073;
TREE-RING RES;1536-1098;323;1.250;1.339;0.571;14;9.7;0.00040;0.431;
TREES-STRUCT FUNCT;0931-1890;3454;1.651;1.928;0.323;155;8.3;0.00573;0.544;
URBAN FOR URBAN GREE;1618-8667;1083;2.109;2.721;0.182;99;5.2;0.00224;0.636;
WEST J APPL FOR;0885-6095;402;0.491;0.806;;0;9.7;0.00047;0.219;
WOOD FIBER SCI;0735-6161;1632;0.773;1.098;0.123;57;>10.0;0.00109;0.278;
WOOD SCI TECHNOL;0043-7719;2671;1.920;1.958;0.218;87;>10.0;0.00273;0.514;

